SOLAR,9945,GREGORIAN 1945
350th,Sun,December 16 th
351st,Mon,December 17 th
352nd,Tue,December 18 th
353rd,Wed     Full,December 19 th
354th,Thu,December 20 th
355th,Fri,December 21 st
356th,Sat,December 22 nd
357th,Sun,December 23 rd
358th,Mon,December 24 th
359th,Tue,December 25 th
360th,Wed,December 26 th
361st,Thu,December 27 th
362nd,Fri,December 28 th
363rd,Sat,December 29 th
364th,Sun,December 30 th
365th,Mon,December 31 st
366th,XXXXX,XXXXX
