SOLAR,8031,HEBREW,SELEUCID ERA,NABATAEAN,EGYPTIAN CIVIL,JULIAN AUC,HISTORICAL
265th,Mon,3792 Tishri / 19,342 Hyperberetaios / 18,Elul / 18,Akhet Phaophi 8,784 September / 24,31 Sep \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-168,,,,,
266th EQ,Tue,3792 Tishri / 20,342 Hyperberetaios / 19,Elul / 19,Akhet Phaophi 9,784 September / 25,31 Sep \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-169,,,,,
267th,Wed,3792 Tishri / 21,342 Hyperberetaios / 20,Elul / 20,Akhet Phaophi 10,784 September / 26,31 Sep \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-170,,,,,
268th,Thu,3792 Tishri / 22,342 Hyperberetaios / 21,Elul / 21,Akhet Phaophi 11,784 September / 27,31 Sep \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-171,,,,,
269th,Fri,3792 Tishri / 23,342 Hyperberetaios / 22,Elul / 22,Akhet Phaophi 12,784 September / 28,31 Sep \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-172,,,,,
270th,Sat,3792 Tishri / 24,342 Hyperberetaios / 23,Elul / 23,Akhet Phaophi 13,784 September / 29,31 Sep \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-173,,,,,
271st,Sun,3792 Tishri / 25,342 Hyperberetaios / 24,Elul / 24,Akhet Phaophi 14,784 September / 30,31 Sep \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-174,,,,,
272nd,Mon,3792 Tishri / 26,342 Hyperberetaios / 25,Elul / 25,Akhet Phaophi 15,784 October / 1,31 Oct \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-175,,,,,
273rd,Tue,3792 Tishri / 27,342 Hyperberetaios / 26,Elul / 26,Akhet Phaophi 16,784 October / 2,31 Oct \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-176,,,,,
274th,Wed,3792 Tishri / 28,342 Hyperberetaios / 27,Elul / 27,Akhet Phaophi 17,784 October / 3,31 Oct \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-177,,,,,
275th,Thu,3792 Tishri / 29,342 Hyperberetaios / 28,Elul / 28,Akhet Phaophi 18,784 October / 4,31 Oct \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-178,,,,,
276th,Fri     New,3792 Tishri / 30,342 Hyperberetaios / 29,Elul / 29,Akhet Phaophi 19,784 October / 5,31 Oct \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-179,,,,,
277th,Sat,3792 Heshvan / 1,342 Hyperberetaios / 30,Elul / 30,Akhet Phaophi 20,784 October / 6,31 Oct \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-180,,,,,
278th,Sun,3792 Heshvan / 2,343 Dios / 1,Tishri / 1,Akhet Phaophi 21,784 October / 7,31 Oct \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-181,|-----Artabanus II (III) king of the Parthian Empire 21 years,,,,
,,|-----Pontius Pilate of Judea 5 years,|-----Abgar V Ukkama (Abgar the Black) king of Osroene with Edessa as its capitol 35 years,,,,
279th,Mon,3792 Heshvan / 3,343 Dios / 2,Tishri / 2,Akhet Phaophi 22,784 October / 8,31 Oct \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-182,,,,,
280th,Tue,3792 Heshvan / 4,343 Dios / 3,Tishri / 3,Akhet Phaophi 23,784 October / 9,31 Oct \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-183,,,,,
281st,Wed,3792 Heshvan / 5,343 Dios / 4,Tishri / 4,Akhet Phaophi 24,784 October / 10,31 Oct \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-184,,,,,
282nd,Thu,3792 Heshvan / 6,343 Dios / 5,Tishri / 5,Akhet Phaophi 25,784 October / 11,31 Oct \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-185,,,,,
283rd,Fri,3792 Heshvan / 7,343 Dios / 6,Tishri / 6,Akhet Phaophi 26,784 October / 12,31 Oct \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-186,,,,,
284th,Sat,3792 Heshvan / 8,343 Dios / 7,Tishri / 7,Akhet Phaophi 27,784 October / 13,31 Oct \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-187,,,,,
285th,Sun,3792 Heshvan / 9,343 Dios / 8,Tishri / 8,Akhet Phaophi 28,784 October / 14,31 Oct \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-188,,,,,
286th,Mon,3792 Heshvan / 10,343 Dios / 9,Tishri / 9,Akhet Phaophi 29,784 October / 15,31 Oct \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-189,,,,,
287th,Tue,3792 Heshvan / 11,343 Dios / 10,Tishri / 10,Akhet Phaophi 30,784 October / 16,31 Oct \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-190,,,,,
288th,Wed,3792 Heshvan / 12,343 Dios / 11,Tishri / 11,Akhet Hathor 1,784 October / 17,31 Oct \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-191,,,,,
289th,Thu,3792 Heshvan / 13,343 Dios / 12,Tishri / 12,Akhet Hathor 2,784 October / 18,31 Oct \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-192,,,,,
290th,Fri     Full,3792 Heshvan / 14,343 Dios / 13,Tishri / 13,Akhet Hathor 3,784 October / 19,31 Oct \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-193,,,,,
291st,Sat,3792 Heshvan / 15,343 Dios / 14,Tishri / 14,Akhet Hathor 4,784 October / 20,31 Oct \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-194,,,,,
292nd,Sun,3792 Heshvan / 16,343 Dios / 15,Tishri / 15,Akhet Hathor 5,784 October / 21,31 Oct \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-195,,,,,
293rd,Mon,3792 Heshvan / 17,343 Dios / 16,Tishri / 16,Akhet Hathor 6,784 October / 22,31 Oct \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-196,,,,,
294th,Tue,3792 Heshvan / 18,343 Dios / 17,Tishri / 17,Akhet Hathor 7,784 October / 23,31 Oct \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-197,,,,,
295th,Wed,3792 Heshvan / 19,343 Dios / 18,Tishri / 18,Akhet Hathor 8,784 October / 24,31 Oct \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-198,,,,,
296th,Thu,3792 Heshvan / 20,343 Dios / 19,Tishri / 19,Akhet Hathor 9,784 October / 25,31 Oct \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-199,,,,,
297th,Fri,3792 Heshvan / 21,343 Dios / 20,Tishri / 20,Akhet Hathor 10,784 October / 26,31 Oct \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-200,,,,,
298th,Sat,3792 Heshvan / 22,343 Dios / 21,Tishri / 21,Akhet Hathor 11,784 October / 27,31 Oct \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-201,,,,,
299th,Sun,3792 Heshvan / 23,343 Dios / 22,Tishri / 22,Akhet Hathor 12,784 October / 28,31 Oct \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-202,,,,,
300th,Mon,3792 Heshvan / 24,343 Dios / 23,Tishri / 23,Akhet Hathor 13,784 October / 29,31 Oct \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-203,,,,,
301st,Tue,3792 Heshvan / 25,343 Dios / 24,Tishri / 24,Akhet Hathor 14,784 October / 30,31 Oct \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-204,,,,,
302nd,Wed,3792 Heshvan / 26,343 Dios / 25,Tishri / 25,Akhet Hathor 15,784 October / 31,31 Oct \ 31
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-205,,,,,
303rd,Thu,3792 Heshvan / 27,343 Dios / 26,Tishri / 26,Akhet Hathor 16,784 November / 1,31 Nov \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-206,,,,,
304th,Fri,3792 Heshvan / 28,343 Dios / 27,Tishri / 27,Akhet Hathor 17,784 November / 2,31 Nov \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-207,,,,,
305th,Sat     New,3792 Heshvan / 29,343 Dios / 28,Tishri / 28,Akhet Hathor 18,784 November / 3,31 Nov \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-208,,,,,
306th,Sun,3792 Kislev / 1,343 Dios / 29,Tishri / 29,Akhet Hathor 19,784 November / 4,31 Nov \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-209,,,,,
307th,Mon,3792 Kislev / 2,343 Dios / 30,Tishri / 30,Akhet Hathor 20,784 November / 5,31 Nov \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-210,,,,,
308th,Tue,3792 Kislev / 3,343 Apellaios / 1,Mercheshvan / 1,Akhet Hathor 21,784 November / 6,31 Nov \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-211,,,,,
309th,Wed,3792 Kislev / 4,343 Apellaios / 2,Mercheshvan / 2,Akhet Hathor 22,784 November / 7,31 Nov \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-212,,,,,
310th,Thu,3792 Kislev / 5,343 Apellaios / 3,Mercheshvan / 3,Akhet Hathor 23,784 November / 8,31 Nov \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-213,,,,,
311th,Fri,3792 Kislev / 6,343 Apellaios / 4,Mercheshvan / 4,Akhet Hathor 24,784 November / 9,31 Nov \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-214,,,,,
312th,Sat,3792 Kislev / 7,343 Apellaios / 5,Mercheshvan / 5,Akhet Hathor 25,784 November / 10,31 Nov \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-215,,,,,
313th,Sun,3792 Kislev / 8,343 Apellaios / 6,Mercheshvan / 6,Akhet Hathor 26,784 November / 11,31 Nov \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-216,,,,,
314th,Mon,3792 Kislev / 9,343 Apellaios / 7,Mercheshvan / 7,Akhet Hathor 27,784 November / 12,31 Nov \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-217,,,,,
315th,Tue,3792 Kislev / 10,343 Apellaios / 8,Mercheshvan / 8,Akhet Hathor 28,784 November / 13,31 Nov \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-218,,,,,
316th,Wed,3792 Kislev / 11,343 Apellaios / 9,Mercheshvan / 9,Akhet Hathor 29,784 November / 14,31 Nov \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-219,,,,,
317th,Thu,3792 Kislev / 12,343 Apellaios / 10,Mercheshvan / 10,Akhet Hathor 30,784 November / 15,31 Nov \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-220,,,,,
318th,Fri,3792 Kislev / 13,343 Apellaios / 11,Mercheshvan / 11,Akhet Khoiak 1,784 November / 16,31 Nov \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-221,,,,,
319th,Sat     Full,3792 Kislev / 14,343 Apellaios / 12,Mercheshvan / 12,Akhet Khoiak 2,784 November / 17,31 Nov \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-222,,,,,
320th,Sun,3792 Kislev / 15,343 Apellaios / 13,Mercheshvan / 13,Akhet Khoiak 3,784 November / 18,31 Nov \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-223,,,,,
321st,Mon,3792 Kislev / 16,343 Apellaios / 14,Mercheshvan / 14,Akhet Khoiak 4,784 November / 19,31 Nov \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-224,,,,,
322nd,Tue,3792 Kislev / 17,343 Apellaios / 15,Mercheshvan / 15,Akhet Khoiak 5,784 November / 20,31 Nov \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-225,,,,,
323rd,Wed,3792 Kislev / 18,343 Apellaios / 16,Mercheshvan / 16,Akhet Khoiak 6,784 November / 21,31 Nov \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-226,,,,,
324th,Thu,3792 Kislev / 19,343 Apellaios / 17,Mercheshvan / 17,Akhet Khoiak 7,784 November / 22,31 Nov \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-227,,,,,
325th,Fri,3792 Kislev / 20,343 Apellaios / 18,Mercheshvan / 18,Akhet Khoiak 8,784 November / 23,31 Nov \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-228,,,,,
326th,Sat,3792 Kislev / 21,343 Apellaios / 19,Mercheshvan / 19,Akhet Khoiak 9,784 November / 24,31 Nov \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-229,,,,,
327th,Sun,3792 Kislev / 22,343 Apellaios / 20,Mercheshvan / 20,Akhet Khoiak 10,784 November / 25,31 Nov \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-230,,,,,
328th,Mon,3792 Kislev / 23,343 Apellaios / 21,Mercheshvan / 21,Akhet Khoiak 11,784 November / 26,31 Nov \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-231,,,,,
329th,Tue,3792 Kislev / 24,343 Apellaios / 22,Mercheshvan / 22,Akhet Khoiak 12,784 November / 27,31 Nov \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-232,,,,,
330th,Wed,3792 Kislev / 25,343 Apellaios / 23,Mercheshvan / 23,Akhet Khoiak 13,784 November / 28,31 Nov \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-233,,,,,
331st,Thu,3792 Kislev / 26,343 Apellaios / 24,Mercheshvan / 24,Akhet Khoiak 14,784 November / 29,31 Nov \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-234,,,,,
332nd,Fri,3792 Kislev / 27,343 Apellaios / 25,Mercheshvan / 25,Akhet Khoiak 15,784 November / 30,31 Nov \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-235,,,,,
333rd,Sat,3792 Kislev / 28,343 Apellaios / 26,Mercheshvan / 26,Akhet Khoiak 16,784 December / 1,31 Dec \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-236,,,,,
334th,Sun,3792 Kislev / 29,343 Apellaios / 27,Mercheshvan / 27,Akhet Khoiak 17,784 December / 2,31 Dec \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-237,,,,,
335th,Mon     New,3792 Kislev / 30,343 Apellaios / 28,Mercheshvan / 28,Akhet Khoiak 18,784 December / 3,31 Dec \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-238,,,,,
336th,Tue,3792 Teveth / 1,343 Apellaios / 29,Mercheshvan / 29,Akhet Khoiak 19,784 December / 4,31 Dec \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-239,,,,,
337th,Wed,3792 Teveth / 2,343 Audynaios / 1,Kislev / 1,Akhet Khoiak 20,784 December / 5,31 Dec \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-240,,,,,
338th,Thu,3792 Teveth / 3,343 Audynaios / 2,Kislev / 2,Akhet Khoiak 21,784 December / 6,31 Dec \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-241,,,,,
339th,Fri,3792 Teveth / 4,343 Audynaios / 3,Kislev / 3,Akhet Khoiak 22,784 December / 7,31 Dec \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-242,,,,,
340th,Sat,3792 Teveth / 5,343 Audynaios / 4,Kislev / 4,Akhet Khoiak 23,784 December / 8,31 Dec \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-243,,,,,
341st,Sun,3792 Teveth / 6,343 Audynaios / 5,Kislev / 5,Akhet Khoiak 24,784 December / 9,31 Dec \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-244,,,,,
342nd,Mon,3792 Teveth / 7,343 Audynaios / 6,Kislev / 6,Akhet Khoiak 25,784 December / 10,31 Dec \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-245,,,,,
343rd,Tue,3792 Teveth / 8,343 Audynaios / 7,Kislev / 7,Akhet Khoiak 26,784 December / 11,31 Dec \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-246,,,,,
344th,Wed,3792 Teveth / 9,343 Audynaios / 8,Kislev / 8,Akhet Khoiak 27,784 December / 12,31 Dec \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-247,,,,,
345th,Thu,3792 Teveth / 10,343 Audynaios / 9,Kislev / 9,Akhet Khoiak 28,784 December / 13,31 Dec \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-248,,,,,
346th,Fri,3792 Teveth / 11,343 Audynaios / 10,Kislev / 10,Akhet Khoiak 29,784 December / 14,31 Dec \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-249,,,,,
347th,Sat,3792 Teveth / 12,343 Audynaios / 11,Kislev / 11,Akhet Khoiak 30,784 December / 15,31 Dec \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-250,,,,,
348th,Sun,3792 Teveth / 13,343 Audynaios / 12,Kislev / 12,Peret Tybi 1,784 December / 16,31 Dec \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-251,,,,,
349th,Mon     Full,3792 Teveth / 14,343 Audynaios / 13,Kislev / 13,Peret Tybi 2,784 December / 17,31 Dec \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-252,,,,,
350th,Tue,3792 Teveth / 15,343 Audynaios / 14,Kislev / 14,Peret Tybi 3,784 December / 18,31 Dec \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-253,,,,,
351st,Wed,3792 Teveth / 16,343 Audynaios / 15,Kislev / 15,Peret Tybi 4,784 December / 19,31 Dec \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-254,,,,,
352nd,Thu,3792 Teveth / 17,343 Audynaios / 16,Kislev / 16,Peret Tybi 5,784 December / 20,31 Dec \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-255,,,,,
353rd,Fri,3792 Teveth / 18,343 Audynaios / 17,Kislev / 17,Peret Tybi 6,784 December / 21,31 Dec \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-256,,,,,
354th,Sat,3792 Teveth / 19,343 Audynaios / 18,Kislev / 18,Peret Tybi 7,784 December / 22,31 Dec \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-257,,,,,
355th,Sun,3792 Teveth / 20,343 Audynaios / 19,Kislev / 19,Peret Tybi 8,784 December / 23,31 Dec \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-258,,,,,
356th So,Mon,3792 Teveth / 21,343 Audynaios / 20,Kislev / 20,Peret Tybi 9,784 December / 24,31 Dec \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-259,,,,,
357th,Tue,3792 Teveth / 22,343 Audynaios / 21,Kislev / 21,Peret Tybi 10,784 December / 25,31 Dec \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-260,,,,,
358th,Wed,3792 Teveth / 23,343 Audynaios / 22,Kislev / 22,Peret Tybi 11,784 December / 26,31 Dec \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-261,,,,,
359th,Thu,3792 Teveth / 24,343 Audynaios / 23,Kislev / 23,Peret Tybi 12,784 December / 27,31 Dec \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-262,,,,,
360th,Fri,3792 Teveth / 25,343 Audynaios / 24,Kislev / 24,Peret Tybi 13,784 December / 28,31 Dec \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-263,,,,,
361st,Sat,3792 Teveth / 26,343 Audynaios / 25,Kislev / 25,Peret Tybi 14,784 December / 29,31 Dec \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-264,,,,,
362nd,Sun,3792 Teveth / 27,343 Audynaios / 26,Kislev / 26,Peret Tybi 15,784 December / 30,31 Dec \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-265,,,,,
363rd,Mon,3792 Teveth / 28,343 Audynaios / 27,Kislev / 27,Peret Tybi 16,784 December / 31,31 Dec \ 31
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-266,,,,,
364th,Tue     New,3792 Teveth / 29,343 Audynaios / 28,Kislev / 28,Peret Tybi 17,785 L Ianuarius / 1,32 L Jan \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-267,,,,|-----Tiberius emperor of Rome 18 years,
365th,Wed,3792 Teveth / 30,343 Audynaios / 29,Kislev / 29,Peret Tybi 18,785 L Ianuarius / 2,32 L Jan \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-268,,,,,
