SOLAR,8031,HEBREW,SELEUCID ERA,NABATAEAN,EGYPTIAN CIVIL,JULIAN AUC,HISTORICAL
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-304,,,,,
42nd,Tue,3791 Adar / 2,342 Dystros / 2,Shevat / 2,Peret Mechir 30,784 Februarius / 13,31 Feb \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-305,,,,,
43rd,Wed,3791 Adar / 3,342 Dystros / 3,Shevat / 3,Peret Phamenoth 1,784 Februarius / 14,31 Feb \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-306,,,,,
44th,Thu,3791 Adar / 4,342 Dystros / 4,Shevat / 4,Peret Phamenoth 2,784 Februarius / 15,31 Feb \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-307,,,,,
45th,Fri,3791 Adar / 5,342 Dystros / 5,Shevat / 5,Peret Phamenoth 3,784 Februarius / 16,31 Feb \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-308,,,,,
46th,Sat,3791 Adar / 6,342 Dystros / 6,Shevat / 6,Peret Phamenoth 4,784 Februarius / 17,31 Feb \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-309,,,,,
47th,Sun,3791 Adar / 7,342 Dystros / 7,Shevat / 7,Peret Phamenoth 5,784 Februarius / 18,31 Feb \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-310,,,,,
48th,Mon,3791 Adar / 8,342 Dystros / 8,Shevat / 8,Peret Phamenoth 6,784 Februarius / 19,31 Feb \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-311,,,,,
49th,Tue,3791 Adar / 9,342 Dystros / 9,Shevat / 9,Peret Phamenoth 7,784 Februarius / 20,31 Feb \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-312,,,,,
50th,Wed,3791 Adar / 10,342 Dystros / 10,Shevat / 10,Peret Phamenoth 8,784 Februarius / 21,31 Feb \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-313,,,,,
51st,Thu,3791 Adar / 11,342 Dystros / 11,Shevat / 11,Peret Phamenoth 9,784 Februarius / 22,31 Feb \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-314,,,,,
52nd,Fri,3791 Adar / 12,342 Dystros / 12,Shevat / 12,Peret Phamenoth 10,784 Februarius / 23,31 Feb \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-315,,,,,
53rd,Sat,3791 Adar / 13,342 Dystros / 13,Shevat / 13,Peret Phamenoth 11,784 Februarius / 24,31 Feb \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-316,,,,,
54th,Sun     Full,3791 Adar / 14,342 Dystros / 14,Shevat / 14,Peret Phamenoth 12,784 Februarius / 25,31 Feb \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-317,,,,,
55th,Mon,3791 Adar / 15,342 Dystros / 15,Shevat / 15,Peret Phamenoth 13,784 Februarius / 26,31 Feb \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-318,,,,,
