SOLAR,8212 L,JULIAN AUC,HISTORICAL
275th,Thu,965 L Oct / 1,212 L Oct / 1
276th,Fri,965 L Oct / 2,212 L Oct / 2
277th,Sat,965 L Oct / 3,212 L Oct / 3
278th,Sun,965 L Oct / 4,212 L Oct / 4
279th,Mon,965 L Oct / 5,212 L Oct / 5
280th,Tue,965 L Oct / 6,212 L Oct / 6
281st,Wed,965 L Oct / 7,212 L Oct / 7
282nd,Thu,965 L Oct / 8,212 L Oct / 8
283rd,Fri,965 L Oct / 9,212 L Oct / 9
284th,Sat,965 L Oct / 10,212 L Oct / 10
285th,Sun,965 L Oct / 11,212 L Oct / 11
286th,Mon     New,965 L Oct / 12,212 L Oct / 12
287th,Tue,965 L Oct / 13,212 L Oct / 13
288th,Wed,965 L Oct / 14,212 L Oct / 14
289th,Thu,965 L Oct / 15,212 L Oct / 15
290th,Fri,965 L Oct / 16,212 L Oct / 16
291st,Sat,965 L Oct / 17,212 L Oct / 17
292nd,Sun,965 L Oct / 18,212 L Oct / 18
293rd,Mon,965 L Oct / 19,212 L Oct / 19
294th,Tue,965 L Oct / 20,212 L Oct / 20
295th,Wed,965 L Oct / 21,212 L Oct / 21
296th,Thu,965 L Oct / 22,212 L Oct / 22
297th,Fri,965 L Oct / 23,212 L Oct / 23
298th,Sat,965 L Oct / 24,212 L Oct / 24
299th,Sun,965 L Oct / 25,212 L Oct / 25
300th,Mon,965 L Oct / 26,212 L Oct / 26
301st,Tue     Full,965 L Oct / 27,212 L Oct / 27
302nd,Wed,965 L Oct / 28,212 L Oct / 28
303rd,Thu,965 L Oct / 29,212 L Oct / 29
304th,Fri,965 L Oct / 30,212 L Oct / 30
305th,Sat,965 L Oct / 31,212 L Oct / 31
306th,Sun,965 L Nov / 1,212 L Nov / 1
307th,Mon,965 L Nov / 2,212 L Nov / 2
308th,Tue,965 L Nov / 3,212 L Nov / 3
309th,Wed,965 L Nov / 4,212 L Nov / 4
310th,Thu,965 L Nov / 5,212 L Nov / 5
311th,Fri,965 L Nov / 6,212 L Nov / 6
312th,Sat,965 L Nov / 7,212 L Nov / 7
313th,Sun,965 L Nov / 8,212 L Nov / 8
314th,Mon,965 L Nov / 9,212 L Nov / 9
315th,Tue,965 L Nov / 10,212 L Nov / 10
316th,Wed     New,965 L Nov / 11,212 L Nov / 11
317th,Thu,965 L Nov / 12,212 L Nov / 12
318th,Fri,965 L Nov / 13,212 L Nov / 13
319th,Sat,965 L Nov / 14,212 L Nov / 14
320th,Sun,965 L Nov / 15,212 L Nov / 15
321st,Mon,965 L Nov / 16,212 L Nov / 16
322nd,Tue,965 L Nov / 17,212 L Nov / 17
323rd,Wed,965 L Nov / 18,212 L Nov / 18
324th,Thu,965 L Nov / 19,212 L Nov / 19
325th,Fri,965 L Nov / 20,212 L Nov / 20
326th,Sat,965 L Nov / 21,212 L Nov / 21
327th,Sun,965 L Nov / 22,212 L Nov / 22
328th,Mon,965 L Nov / 23,212 L Nov / 23
329th,Tue,965 L Nov / 24,212 L Nov / 24
330th,Wed,965 L Nov / 25,212 L Nov / 25
331st,Thu     Full,965 L Nov / 26,212 L Nov / 26
332nd,Fri,965 L Nov / 27,212 L Nov / 27
333rd,Sat,965 L Nov / 28,212 L Nov / 28
334th,Sun,965 L Nov / 29,212 L Nov / 29
335th,Mon,965 L Nov / 30,212 L Nov / 30
336th,Tue,965 L Dec / 1,212 L Dec / 1
337th,Wed,965 L Dec / 2,212 L Dec / 2
338th,Thu,965 L Dec / 3,212 L Dec / 3
339th,Fri,965 L Dec / 4,212 L Dec / 4
340th,Sat,965 L Dec / 5,212 L Dec / 5
341st,Sun,965 L Dec / 6,212 L Dec / 6
342nd,Mon,965 L Dec / 7,212 L Dec / 7
343rd,Tue,965 L Dec / 8,212 L Dec / 8
344th,Wed,965 L Dec / 9,212 L Dec / 9
345th,Thu     New,965 L Dec / 10,212 L Dec / 10
346th,Fri,965 L Dec / 11,212 L Dec / 11
347th,Sat,965 L Dec / 12,212 L Dec / 12
348th,Sun,965 L Dec / 13,212 L Dec / 13
349th,Mon,965 L Dec / 14,212 L Dec / 14
350th,Tue,965 L Dec / 15,212 L Dec / 15
351st,Wed,965 L Dec / 16,212 L Dec / 16
352nd,Thu,965 L Dec / 17,212 L Dec / 17
353rd,Fri,965 L Dec / 18,212 L Dec / 18
354th,Sat,965 L Dec / 19,212 L Dec / 19
355th,Sun,965 L Dec / 20,212 L Dec / 20
356th,Mon,965 L Dec / 21,212 L Dec / 21
357th,Tue,965 L Dec / 22,212 L Dec / 22
358th,Wed,965 L Dec / 23,212 L Dec / 23
359th,Thu,965 L Dec / 24,212 L Dec / 24
360th,Fri     Full,965 L Dec / 25,212 L Dec / 25
361st,Sat,965 L Dec / 26,212 L Dec / 26
362nd,Sun,965 L Dec / 27,212 L Dec / 27
363rd,Mon,965 L Dec / 28,212 L Dec / 28
364th,Tue,965 L Dec / 29,212 L Dec / 29
365th,Wed,965 L Dec / 30,212 L Dec / 30
366th,Thu,965 L Dec / 31,212 L Dec / 31
