SOLAR,8215,JULIAN AUC,HISTORICAL
61st,Thu,968 Martius / 2,215 Mar / 2
62nd,Fri     Full,968 Martius / 3,215 Mar / 3
63rd,Sat,968 Martius / 4,215 Mar / 4
64th,Sun,968 Martius / 5,215 Mar / 5
65th,Mon,968 Martius / 6,215 Mar / 6
66th,Tue,968 Martius / 7,215 Mar / 7
67th,Wed,968 Martius / 8,215 Mar / 8
68th,Thu,968 Martius / 9,215 Mar / 9
69th,Fri,968 Martius / 10,215 Mar / 10
70th,Sat,968 Martius / 11,215 Mar / 11
71st,Sun,968 Martius / 12,215 Mar / 12
72nd,Mon,968 Martius / 13,215 Mar / 13
73rd,Tue,968 Martius / 14,215 Mar / 14
74th,Wed,968 Martius / 15,215 Mar / 15
75th,Thu,968 Martius / 16,215 Mar / 16
76th,Fri     New,968 Martius / 17,215 Mar / 17
77th,Sat,968 Martius / 18,215 Mar / 18
78th,Sun,968 Martius / 19,215 Mar / 19
79th,Mon,968 Martius / 20,215 Mar / 20
80th EQ,Tue,968 Martius / 21,215 Mar / 21
81st  X,Wed,968 Martius / 22,215 Mar / 22
82nd X,Thu,968 Martius / 23,215 Mar / 23
83rd  X,Fri,968 Martius / 24,215 Mar / 24
84th X,Sat,968 Martius / 25,215 Mar / 25
85th X,Sun,968 Martius / 26,215 Mar / 26
86th X,Mon,968 Martius / 27,215 Mar / 27
87th X,Tue,968 Martius / 28,215 Mar / 28
88th X,Wed,968 Martius / 29,215 Mar / 29
89th X,Thu,968 Martius / 30,215 Mar / 30
90th X,Fri,968 Martius / 31,215 Mar / 31
91st X,Sat     Full,968 Aprilis / 1,215 Apr / 1
92nd X,Sun,968 Aprilis / 2,215 Apr / 2
93rd X,Mon,968 Aprilis / 3,215 Apr / 3
94th X,Tue,968 Aprilis / 4,215 Apr / 4
95th X,Wed,968 Aprilis / 5,215 Apr / 5
96th X,Thu,968 Aprilis / 6,215 Apr / 6
97th X,Fri,968 Aprilis / 7,215 Apr / 7
98th X,Sat,968 Aprilis / 8,215 Apr / 8
99th X,Sun,968 Aprilis / 9,215 Apr / 9
100th X,Mon,968 Aprilis / 10,215 Apr / 10
101st X,Tue,968 Aprilis / 11,215 Apr / 11
102nd X,Wed,968 Aprilis / 12,215 Apr / 12
103rd X,Thu,968 Aprilis / 13,215 Apr / 13
104th X,Fri,968 Aprilis / 14,215 Apr / 14
105th X,Sat,968 Aprilis / 15,215 Apr / 15
106th X,Sun     New,968 Aprilis / 16,215 Apr / 16
107th X,Mon,968 Aprilis / 17,215 Apr / 17
108th X,Tue,968 Aprilis / 18,215 Apr / 18
109th X,Wed,968 Aprilis / 19,215 Apr / 19
110th X,Thu,968 Aprilis / 20,215 Apr / 20
111th X,Fri,968 Aprilis / 21,215 Apr / 21
112th X,Sat,968 Aprilis / 22,215 Apr / 22
113th X,Sun,968 Aprilis / 23,215 Apr / 23
114th X,Mon,968 Aprilis / 24,215 Apr / 24
115th X,Tue,968 Aprilis / 25,215 Apr / 25
116th,Wed,968 Aprilis / 26,215 Apr / 26
117th,Thu,968 Aprilis / 27,215 Apr / 27
118th,Fri,968 Aprilis / 28,215 Apr / 28
119th,Sat,968 Aprilis / 29,215 Apr / 29
120th,Sun     Full,968 Aprilis / 30,215 Apr / 30
121st,Mon,968 Maius / 1,215 May / 1
122nd,Tue,968 Maius / 2,215 May / 2
123rd,Wed,968 Maius / 3,215 May / 3
124th,Thu,968 Maius / 4,215 May / 4
125th,Fri,968 Maius / 5,215 May / 5
126th,Sat,968 Maius / 6,215 May / 6
127th,Sun,968 Maius / 7,215 May / 7
128th,Mon,968 Maius / 8,215 May / 8
129th,Tue,968 Maius / 9,215 May / 9
130th,Wed,968 Maius / 10,215 May / 10
131st,Thu,968 Maius / 11,215 May / 11
132nd,Fri,968 Maius / 12,215 May / 12
133rd,Sat,968 Maius / 13,215 May / 13
134th,Sun,968 Maius / 14,215 May / 14
135th,Mon,968 Maius / 15,215 May / 15
136th,Tue     New,968 Maius / 16,215 May / 16
137th,Wed,968 Maius / 17,215 May / 17
138th,Thu,968 Maius / 18,215 May / 18
139th,Fri,968 Maius / 19,215 May / 19
140th,Sat,968 Maius / 20,215 May / 20
141st,Sun,968 Maius / 21,215 May / 21
142nd,Mon,968 Maius / 22,215 May / 22
143rd,Tue,968 Maius / 23,215 May / 23
144th,Wed,968 Maius / 24,215 May / 24
145th,Thu,968 Maius / 25,215 May / 25
146th,Fri,968 Maius / 26,215 May / 26
147th,Sat,968 Maius / 27,215 May / 27
148th,Sun,968 Maius / 28,215 May / 28
149th,Mon,968 Maius / 29,215 May / 29
150th,Tue     Full,968 Maius / 30,215 May / 30
151st,Wed,968 Maius / 31,215 May / 31
152nd,Thu,968 Iunius / 1,215 Jun / 1
153rd,Fri,968 Iunius / 2,215 Jun / 2
154th,Sat,968 Iunius / 3,215 Jun / 3
155th,Sun,968 Iunius / 4,215 Jun / 4
156th,Mon,968 Iunius / 5,215 Jun / 5
157th,Tue,968 Iunius / 6,215 Jun / 6
158th,Wed,968 Iunius / 7,215 Jun / 7
159th,Thu,968 Iunius / 8,215 Jun / 8
160th S,Fri,968 Iunius / 9,215 Jun / 9
161st,Sat,968 Iunius / 10,215 Jun / 10
162nd,Sun,968 Iunius / 11,215 Jun / 11
163rd,Mon,968 Iunius / 12,215 Jun / 12
164th,Tue,968 Iunius / 13,215 Jun / 13
165th,Wed     New,968 Iunius / 14,215 Jun / 14
166th,Thu,968 Iunius / 15,215 Jun / 15
167th,Fri,968 Iunius / 16,215 Jun / 16
168th,Sat,968 Iunius / 17,215 Jun / 17
169th,Sun,968 Iunius / 18,215 Jun / 18
170th,Mon,968 Iunius / 19,215 Jun / 19
171st,Tue,968 Iunius / 20,215 Jun / 20
172nd,Wed,968 Iunius / 21,215 Jun / 21
173rd,Thu,968 Iunius / 22,215 Jun / 22
174th,Fri,968 Iunius / 23,215 Jun / 23
175th,Sat,968 Iunius / 24,215 Jun / 24
176th,Sun,968 Iunius / 25,215 Jun / 25
177th,Mon,968 Iunius / 26,215 Jun / 26
178th,Tue,968 Iunius / 27,215 Jun / 27
179th,Wed     Full,968 Iunius / 28,215 Jun / 28
180th,Thu,968 Iunius / 29,215 Jun / 29
181st,Fri,968 Iunius / 30,215 Jun / 30
182nd,Sat,968 Iulius / 1,215 Jul / 1
183rd,Sun,968 Iulius / 2,215 Jul / 2
184th,Mon,968 Iulius / 3,215 Jul / 3
185th,Tue,968 Iulius / 4,215 Jul / 4
186th,Wed,968 Iulius / 5,215 Jul / 5
187th,Thu,968 Iulius / 6,215 Jul / 6
188th,Fri,968 Iulius / 7,215 Jul / 7
189th,Sat,968 Iulius / 8,215 Jul / 8
190th,Sun,968 Iulius / 9,215 Jul / 9
191st,Mon,968 Iulius / 10,215 Jul / 10
192nd,Tue,968 Iulius / 11,215 Jul / 11
193rd,Wed,968 Iulius / 12,215 Jul / 12
194th,Thu,968 Iulius / 13,215 Jul / 13
195th,Fri     New,968 Iulius / 14,215 Jul / 14
196th,Sat,968 Iulius / 15,215 Jul / 15
197th,Sun,968 Iulius / 16,215 Jul / 16
198th,Mon,968 Iulius / 17,215 Jul / 17
199th,Tue,968 Iulius / 18,215 Jul / 18
200th,Wed,968 Iulius / 19,215 Jul / 19
201st,Thu,968 Iulius / 20,215 Jul / 20
202nd,Fri,968 Iulius / 21,215 Jul / 21
203rd,Sat,968 Iulius / 22,215 Jul / 22
204th,Sun,968 Iulius / 23,215 Jul / 23
205th,Mon,968 Iulius / 24,215 Jul / 24
206th,Tue,968 Iulius / 25,215 Jul / 25
207th,Wed,968 Iulius / 26,215 Jul / 26
208th,Thu,968 Iulius / 27,215 Jul / 27
209th,Fri     Full,968 Iulius / 28,215 Jul / 28
210th,Sat,968 Iulius / 29,215 Jul / 29
211th,Sun,968 Iulius / 30,215 Jul / 30
212th,Mon,968 Iulius / 31,215 Jul / 31
213th,Tue,968 Augustus / 1,215 Aug / 1
214th,Wed,968 Augustus / 2,215 Aug / 2
215th,Thu,968 Augustus / 3,215 Aug / 3
216th,Fri,968 Augustus / 4,215 Aug / 4
217th,Sat,968 Augustus / 5,215 Aug / 5
218th,Sun,968 Augustus / 6,215 Aug / 6
219th,Mon,968 Augustus / 7,215 Aug / 7
220th,Tue,968 Augustus / 8,215 Aug / 8
221st,Wed,968 Augustus / 9,215 Aug / 9
222nd,Thu,968 Augustus / 10,215 Aug / 10
223rd,Fri,968 Augustus / 11,215 Aug / 11
224th,Sat     New,968 Augustus / 12,215 Aug / 12
225th,Sun,968 Augustus / 13,215 Aug / 13
226th,Mon,968 Augustus / 14,215 Aug / 14
227th,Tue,968 Augustus / 15,215 Aug / 15
228th,Wed,968 Augustus / 16,215 Aug / 16
229th,Thu,968 Augustus / 17,215 Aug / 17
230th,Fri,968 Augustus / 18,215 Aug / 18
231st,Sat,968 Augustus / 19,215 Aug / 19
232nd,Sun,968 Augustus / 20,215 Aug / 20
233rd,Mon,968 Augustus / 21,215 Aug / 21
234th,Tue,968 Augustus / 22,215 Aug / 22
235th,Wed,968 Augustus / 23,215 Aug / 23
236th,Thu,968 Augustus / 24,215 Aug / 24
237th,Fri,968 Augustus / 25,215 Aug / 25
238th,Sat     Full,968 Augustus / 26,215 Aug / 26
239th,Sun,968 Augustus / 27,215 Aug / 27
240th,Mon,968 Augustus / 28,215 Aug / 28
241st,Tue,968 Augustus / 29,215 Aug / 29
242nd,Wed,968 Augustus / 30,215 Aug / 30
243rd,Thu,968 Augustus / 31,215 Aug / 31
244th,Fri,968 Sep / 1,215 Sep / 1
245th,Sat,968 Sep / 2,215 Sep / 2
246th,Sun,968 Sep / 3,215 Sep / 3
247th,Mon,968 Sep / 4,215 Sep / 4
248th,Tue,968 Sep / 5,215 Sep / 5
249th,Wed,968 Sep / 6,215 Sep / 6
250th,Thu,968 Sep / 7,215 Sep / 7
251st,Fri,968 Sep / 8,215 Sep / 8
252nd,Sat,968 Sep / 9,215 Sep / 9
253rd,Sun     New,968 Sep / 10,215 Sep / 10
254th,Mon,968 Sep / 11,215 Sep / 11
255th,Tue,968 Sep / 12,215 Sep / 12
256th,Wed,968 Sep / 13,215 Sep / 13
257th,Thu,968 Sep / 14,215 Sep / 14
258th,Fri,968 Sep / 15,215 Sep / 15
259th,Sat,968 Sep / 16,215 Sep / 16
260th,Sun,968 Sep / 17,215 Sep / 17
261st,Mon,968 Sep / 18,215 Sep / 18
262nd,Tue,968 Sep / 19,215 Sep / 19
263rd,Wed,968 Sep / 20,215 Sep / 20
264th,Thu,968 Sep / 21,215 Sep / 21
265th,Fri,968 Sep / 22,215 Sep / 22
266th EQ,Sat,968 Sep / 23,215 Sep / 23
267th,Sun,968 Sep / 24,215 Sep / 24
268th,Mon     Full,968 Sep / 25,215 Sep / 25
269th,Tue,968 Sep / 26,215 Sep / 26
270th,Wed,968 Sep / 27,215 Sep / 27
271st,Thu,968 Sep / 28,215 Sep / 28
272nd,Fri,968 Sep / 29,215 Sep / 29
273rd,Sat,968 Sep / 30,215 Sep / 30
274th,Sun,968 Oct / 1,215 Oct / 1
275th,Mon,968 Oct / 2,215 Oct / 2
276th,Tue,968 Oct / 3,215 Oct / 3
277th,Wed,968 Oct / 4,215 Oct / 4
278th,Thu,968 Oct / 5,215 Oct / 5
279th,Fri,968 Oct / 6,215 Oct / 6
280th,Sat,968 Oct / 7,215 Oct / 7
281st,Sun,968 Oct / 8,215 Oct / 8
282nd,Mon,968 Oct / 9,215 Oct / 9
283rd,Tue     New,968 Oct / 10,215 Oct / 10
284th,Wed,968 Oct / 11,215 Oct / 11
285th,Thu,968 Oct / 12,215 Oct / 12
286th,Fri,968 Oct / 13,215 Oct / 13
287th,Sat,968 Oct / 14,215 Oct / 14
288th,Sun,968 Oct / 15,215 Oct / 15
289th,Mon,968 Oct / 16,215 Oct / 16
290th,Tue,968 Oct / 17,215 Oct / 17
291st,Wed,968 Oct / 18,215 Oct / 18
292nd,Thu,968 Oct / 19,215 Oct / 19
293rd,Fri,968 Oct / 20,215 Oct / 20
294th,Sat,968 Oct / 21,215 Oct / 21
295th,Sun,968 Oct / 22,215 Oct / 22
296th,Mon,968 Oct / 23,215 Oct / 23
297th,Tue,968 Oct / 24,215 Oct / 24
298th,Wed     Full,968 Oct / 25,215 Oct / 25
299th,Thu,968 Oct / 26,215 Oct / 26
300th,Fri,968 Oct / 27,215 Oct / 27
301st,Sat,968 Oct / 28,215 Oct / 28
302nd,Sun,968 Oct / 29,215 Oct / 29
303rd,Mon,968 Oct / 30,215 Oct / 30
304th,Tue,968 Oct / 31,215 Oct / 31
305th,Wed,968 Nov / 1,215 Nov / 1
306th,Thu,968 Nov / 2,215 Nov / 2
307th,Fri,968 Nov / 3,215 Nov / 3
308th,Sat,968 Nov / 4,215 Nov / 4
309th,Sun,968 Nov / 5,215 Nov / 5
310th,Mon,968 Nov / 6,215 Nov / 6
311th,Tue,968 Nov / 7,215 Nov / 7
312th,Wed     New,968 Nov / 8,215 Nov / 8
313th,Thu,968 Nov / 9,215 Nov / 9
314th,Fri,968 Nov / 10,215 Nov / 10
315th,Sat,968 Nov / 11,215 Nov / 11
316th,Sun,968 Nov / 12,215 Nov / 12
317th,Mon,968 Nov / 13,215 Nov / 13
318th,Tue,968 Nov / 14,215 Nov / 14
319th,Wed,968 Nov / 15,215 Nov / 15
320th,Thu,968 Nov / 16,215 Nov / 16
321st,Fri,968 Nov / 17,215 Nov / 17
322nd,Sat,968 Nov / 18,215 Nov / 18
323rd,Sun,968 Nov / 19,215 Nov / 19
324th,Mon,968 Nov / 20,215 Nov / 20
325th,Tue,968 Nov / 21,215 Nov / 21
326th,Wed,968 Nov / 22,215 Nov / 22
327th,Thu,968 Nov / 23,215 Nov / 23
328th,Fri     Full,968 Nov / 24,215 Nov / 24
329th,Sat,968 Nov / 25,215 Nov / 25
330th,Sun,968 Nov / 26,215 Nov / 26
331st,Mon,968 Nov / 27,215 Nov / 27
332nd,Tue,968 Nov / 28,215 Nov / 28
333rd,Wed,968 Nov / 29,215 Nov / 29
334th,Thu,968 Nov / 30,215 Nov / 30
335th,Fri,968 Dec / 1,215 Dec / 1
336th,Sat,968 Dec / 2,215 Dec / 2
337th,Sun,968 Dec / 3,215 Dec / 3
338th,Mon,968 Dec / 4,215 Dec / 4
339th,Tue,968 Dec / 5,215 Dec / 5
340th,Wed,968 Dec / 6,215 Dec / 6
341st,Thu,968 Dec / 7,215 Dec / 7
342nd,Fri     New,968 Dec / 8,215 Dec / 8
343rd,Sat,968 Dec / 9,215 Dec / 9
344th,Sun,968 Dec / 10,215 Dec / 10
345th,Mon,968 Dec / 11,215 Dec / 11
346th,Tue,968 Dec / 12,215 Dec / 12
347th,Wed,968 Dec / 13,215 Dec / 13
348th,Thu,968 Dec / 14,215 Dec / 14
349th,Fri,968 Dec / 15,215 Dec / 15
350th,Sat,968 Dec / 16,215 Dec / 16
351st,Sun,968 Dec / 17,215 Dec / 17
352nd,Mon,968 Dec / 18,215 Dec / 18
353rd,Tue,968 Dec / 19,215 Dec / 19
354th,Wed,968 Dec / 20,215 Dec / 20
355th,Thu,968 Dec / 21,215 Dec / 21
356th,Fri,968 Dec / 22,215 Dec / 22
357th,Sat     Full,968 Dec / 23,215 Dec / 23
358th,Sun,968 Dec / 24,215 Dec / 24
359th,Mon,968 Dec / 25,215 Dec / 25
360th,Tue,968 Dec / 26,215 Dec / 26
361st,Wed,968 Dec / 27,215 Dec / 27
362nd,Thu,968 Dec / 28,215 Dec / 28
363rd,Fri,968 Dec / 29,215 Dec / 29
364th,Sat,968 Dec / 30,215 Dec / 30
365th,Sun,968 Dec / 31,215 Dec / 31
366th,XXXXX,,XXXXX
