SOLAR,9947,HEBREW,Ezekiel,ISLAMIC,GREGORIAN 1947
45th,Fri,5707 Shevat / 24,|-----Ezekiel's 2520 years (year 2519 day 265,1366 L Rabi`al-Awwal / 23,Febuary 14 th
46th,Sat,5707 Shevat / 25,|-----Ezekiel's 2520 years (year 2519 day 266,1366 L Rabi`al-Awwal / 24,Febuary 15 th
47th,Sun,5707 Shevat / 26,|-----Ezekiel's 2520 years (year 2519 day 267,1366 L Rabi`al-Awwal / 25,Febuary 16 th
48th,Mon,5707 Shevat / 27,|-----Ezekiel's 2520 years (year 2519 day 268,1366 L Rabi`al-Awwal / 26,Febuary 17 th
49th,Tue,5707 Shevat / 28,|-----Ezekiel's 2520 years (year 2519 day 269,1366 L Rabi`al-Awwal / 27,Febuary 18 th
50th,Wed,5707 Shevat / 29,|-----Ezekiel's 2520 years (year 2519 day 270,1366 L Rabi`al-Awwal / 28,Febuary 19 th
51st,Thu,5707 Shevat / 30,|-----Ezekiel's 2520 years (year 2519 day 271,1366 L Rabi`al-Awwal / 29,Febuary 20 th
52nd,Fri     New,5707 Adar / 1,|-----Ezekiel's 2520 years (year 2519 day 272,1366 L Rabi`al-Awwal / 30,Febuary 21 st
53rd,Sat,5707 Adar / 2,|-----Ezekiel's 2520 years (year 2519 day 273,1366 L Rabi`ath-Thani / 1,Febuary 22 nd
54th,Sun,5707 Adar / 3,|-----Ezekiel's 2520 years (year 2519 day 274,1366 L Rabi`ath-Thani / 2,Febuary 23 rd
55th,Mon,5707 Adar / 4,|-----Ezekiel's 2520 years (year 2519 day 275,1366 L Rabi`ath-Thani / 3,Febuary 24 th
56th,Tue,5707 Adar / 5,|-----Ezekiel's 2520 years (year 2519 day 276,1366 L Rabi`ath-Thani / 4,Febuary 25 th
57th,Wed,5707 Adar / 6,|-----Ezekiel's 2520 years (year 2519 day 277,1366 L Rabi`ath-Thani / 5,Febuary 26 th
58th,Thu,5707 Adar / 7,|-----Ezekiel's 2520 years (year 2519 day 278,1366 L Rabi`ath-Thani / 6,Febuary 27 th
59th,Fri,5707 Adar / 8,|-----Ezekiel's 2520 years (year 2519 day 279,1366 L Rabi`ath-Thani / 7,Febuary 28 th
60th,Sat,5707 Adar / 9,|-----Ezekiel's 2520 years (year 2519 day 280,1366 L Rabi`ath-Thani / 8,March 1 st
61st,Sun,5707 Adar / 10,|-----Ezekiel's 2520 years (year 2519 day 281,1366 L Rabi`ath-Thani / 9,March 2 nd
62nd,Mon,5707 Adar / 11,|-----Ezekiel's 2520 years (year 2519 day 282,1366 L Rabi`ath-Thani / 10,March 3 rd
63rd,Tue,5707 Adar / 12,|-----Ezekiel's 2520 years (year 2519 day 283,1366 L Rabi`ath-Thani / 11,March 4 th
64th,Wed,5707 Adar / 13,|-----Ezekiel's 2520 years (year 2519 day 284,1366 L Rabi`ath-Thani / 12,March 5 th
65th,Thu,5707 Adar / 14,|-----Ezekiel's 2520 years (year 2519 day 285,1366 L Rabi`ath-Thani / 13,March 6 th
66th,Fri     Full,5707 Adar / 15,|-----Ezekiel's 2520 years (year 2519 day 286,1366 L Rabi`ath-Thani / 14,March 7 th
67th,Sat,5707 Adar / 16,|-----Ezekiel's 2520 years (year 2519 day 287,1366 L Rabi`ath-Thani / 15,March 8 th
68th,Sun,5707 Adar / 17,|-----Ezekiel's 2520 years (year 2519 day 288,1366 L Rabi`ath-Thani / 16,March 9 th
69th,Mon,5707 Adar / 18,|-----Ezekiel's 2520 years (year 2519 day 289,1366 L Rabi`ath-Thani / 17,March 10 th
70th,Tue,5707 Adar / 19,|-----Ezekiel's 2520 years (year 2519 day 290,1366 L Rabi`ath-Thani / 18,March 11 th
71st,Wed,5707 Adar / 20,|-----Ezekiel's 2520 years (year 2519 day 291,1366 L Rabi`ath-Thani / 19,March 12 th
72nd,Thu,5707 Adar / 21,|-----Ezekiel's 2520 years (year 2519 day 292,1366 L Rabi`ath-Thani / 20,March 13 th
73rd,Fri,5707 Adar / 22,|-----Ezekiel's 2520 years (year 2519 day 293,1366 L Rabi`ath-Thani / 21,March 14 th
74th,Sat,5707 Adar / 23,|-----Ezekiel's 2520 years (year 2519 day 294,1366 L Rabi`ath-Thani / 22,March 15 th
75th,Sun,5707 Adar / 24,|-----Ezekiel's 2520 years (year 2519 day 295,1366 L Rabi`ath-Thani / 23,March 16 th
76th,Mon,5707 Adar / 25,|-----Ezekiel's 2520 years (year 2519 day 296,1366 L Rabi`ath-Thani / 24,March 17 th
77th,Tue,5707 Adar / 26,|-----Ezekiel's 2520 years (year 2519 day 297,1366 L Rabi`ath-Thani / 25,March 18 th
78th,Wed,5707 Adar / 27,|-----Ezekiel's 2520 years (year 2519 day 298,1366 L Rabi`ath-Thani / 26,March 19 th
79th,Thu,5707 Adar / 28,|-----Ezekiel's 2520 years (year 2519 day 299,1366 L Rabi`ath-Thani / 27,March 20 th
80th EQ,Fri,5707 Adar / 29,|-----Ezekiel's 2520 years (year 2519 day 300,1366 L Rabi`ath-Thani / 28,March 21 st
81st,Sat     New,5707 Nisan / 1,|-----Ezekiel's 2520 years (year 2519 day 301,1366 L Rabi`ath-Thani / 29,March 22 nd
