SOLAR,9947,HEBREW,Ezekiel,ISLAMIC,GREGORIAN 1947
212th,Thu,5707 Av / 14,|-----Ezekiel's 2520 years (year 2520 day 72,1366 L Ramadan / 13,July 31 st
213th,Fri,5707 Av / 15,|-----Ezekiel's 2520 years (year 2520 day 73,1366 L Ramadan / 14,August 1 st
214th,Sat     Full,5707 Av / 16,|-----Ezekiel's 2520 years (year 2520 day 74,1366 L Ramadan / 15,August 2 nd
215th,Sun,5707 Av / 17,|-----Ezekiel's 2520 years (year 2520 day 75,1366 L Ramadan / 16,August 3 rd
216th,Mon,5707 Av / 18,|-----Ezekiel's 2520 years (year 2520 day 76,1366 L Ramadan / 17,August 4 th
217th,Tue,5707 Av / 19,|-----Ezekiel's 2520 years (year 2520 day 77,1366 L Ramadan / 18,August 5 th
218th,Wed,5707 Av / 20,|-----Ezekiel's 2520 years (year 2520 day 78,1366 L Ramadan / 19,August 6 th
219th,Thu,5707 Av / 21,|-----Ezekiel's 2520 years (year 2520 day 79,1366 L Ramadan / 20,August 7 th
220th,Fri,5707 Av / 22,|-----Ezekiel's 2520 years (year 2520 day 80,1366 L Ramadan / 21,August 8 th
221st,Sat,5707 Av / 23,|-----Ezekiel's 2520 years (year 2520 day 81,1366 L Ramadan / 22,August 9 th
222nd,Sun,5707 Av / 24,|-----Ezekiel's 2520 years (year 2520 day 82,1366 L Ramadan / 23,August 10 th
223rd,Mon,5707 Av / 25,|-----Ezekiel's 2520 years (year 2520 day 83,1366 L Ramadan / 24,August 11 th
224th,Tue,5707 Av / 26,|-----Ezekiel's 2520 years (year 2520 day 84,1366 L Ramadan / 25,August 12 th
225th,Wed,5707 Av / 27,|-----Ezekiel's 2520 years (year 2520 day 85,1366 L Ramadan / 26,August 13 th
226th,Thu,5707 Av / 28,|-----Ezekiel's 2520 years (year 2520 day 86,1366 L Ramadan / 27,August 14 th
227th,Fri,5707 Av / 29,|-----Ezekiel's 2520 years (year 2520 day 87,1366 L Ramadan / 28,August 15 th
228th,Sat     New,5707 Av / 30,|-----Ezekiel's 2520 years (year 2520 day 88,1366 L Ramadan / 29,August 16 th
229th,Sun,5707 Elul / 1,|-----Ezekiel's 2520 years (year 2520 day 89,1366 L Ramadan / 30,August 17 th
230th,Mon,5707 Elul / 2,|-----Ezekiel's 2520 years (year 2520 day 90,1366 L Shawwal / 1,August 18 th
231st,Tue,5707 Elul / 3,|-----Ezekiel's 2520 years (year 2520 day 91,1366 L Shawwal / 2,August 19 th
232nd,Wed,5707 Elul / 4,|-----Ezekiel's 2520 years (year 2520 day 92,1366 L Shawwal / 3,August 20 th
233rd,Thu,5707 Elul / 5,|-----Ezekiel's 2520 years (year 2520 day 93,1366 L Shawwal / 4,August 21 st
234th,Fri,5707 Elul / 6,|-----Ezekiel's 2520 years (year 2520 day 94,1366 L Shawwal / 5,August 22 nd
235th,Sat,5707 Elul / 7,|-----Ezekiel's 2520 years (year 2520 day 95,1366 L Shawwal / 6,August 23 rd
236th,Sun,5707 Elul / 8,|-----Ezekiel's 2520 years (year 2520 day 96,1366 L Shawwal / 7,August 24 th
237th,Mon,5707 Elul / 9,|-----Ezekiel's 2520 years (year 2520 day 97,1366 L Shawwal / 8,August 25 th
238th,Tue,5707 Elul / 10,|-----Ezekiel's 2520 years (year 2520 day 98,1366 L Shawwal / 9,August 26 th
239th,Wed,5707 Elul / 11,|-----Ezekiel's 2520 years (year 2520 day 99,1366 L Shawwal / 10,August 27 th
240th,Thu,5707 Elul / 12,|-----Ezekiel's 2520 years (year 2520 day 100,1366 L Shawwal / 11,August 28 th
241st,Fri,5707 Elul / 13,|-----Ezekiel's 2520 years (year 2520 day 101,1366 L Shawwal / 12,August 29 th
242nd,Sat,5707 Elul / 14,|-----Ezekiel's 2520 years (year 2520 day 102,1366 L Shawwal / 13,August 30 th
243rd,Sun     Full,5707 Elul / 15,|-----Ezekiel's 2520 years (year 2520 day 103,1366 L Shawwal / 14,August 31 st
244th,Mon,5707 Elul / 16,|-----Ezekiel's 2520 years (year 2520 day 104,1366 L Shawwal / 15,September 1 st
245th,Tue,5707 Elul / 17,|-----Ezekiel's 2520 years (year 2520 day 105,1366 L Shawwal / 16,September 2 nd
246th,Wed,5707 Elul / 18,|-----Ezekiel's 2520 years (year 2520 day 106,1366 L Shawwal / 17,September 3 rd
247th,Thu,5707 Elul / 19,|-----Ezekiel's 2520 years (year 2520 day 107,1366 L Shawwal / 18,September 4 th
248th,Fri,5707 Elul / 20,|-----Ezekiel's 2520 years (year 2520 day 108,1366 L Shawwal / 19,September 5 th
249th,Sat,5707 Elul / 21,|-----Ezekiel's 2520 years (year 2520 day 109,1366 L Shawwal / 20,September 6 th
250th,Sun,5707 Elul / 22,|-----Ezekiel's 2520 years (year 2520 day 110,1366 L Shawwal / 21,September 7 th
251st,Mon,5707 Elul / 23,|-----Ezekiel's 2520 years (year 2520 day 111,1366 L Shawwal / 22,September 8 th
252nd,Tue,5707 Elul / 24,|-----Ezekiel's 2520 years (year 2520 day 112,1366 L Shawwal / 23,September 9 th
253rd,Wed,5707 Elul / 25,|-----Ezekiel's 2520 years (year 2520 day 113,1366 L Shawwal / 24,September 10 th
254th,Thu,5707 Elul / 26,|-----Ezekiel's 2520 years (year 2520 day 114,1366 L Shawwal / 25,September 11 th
255th,Fri,5707 Elul / 27,|-----Ezekiel's 2520 years (year 2520 day 115,1366 L Shawwal / 26,September 12 th
256th,Sat,5707 Elul / 28,|-----Ezekiel's 2520 years (year 2520 day 116,1366 L Shawwal / 27,September 13 th
257th,Sun     New,5707 Elul / 29,|-----Ezekiel's 2520 years (year 2520 day 117,1366 L Shawwal / 28,September 14 th
258th,Mon,5708 L Tishri / 1,|-----Ezekiel's 2520 years (year 2520 day 118,1366 L Shawwal / 29,September 15 th
259th,Tue,5708 L Tishri / 2,|-----Ezekiel's 2520 years (year 2520 day 119,1366 L Dhu l-Qa`da / 1,September 16 th
260th,Wed,5708 L Tishri / 3,|-----Ezekiel's 2520 years (year 2520 day 120,1366 L Dhu l-Qa`da / 2,September 17 th
261st,Thu,5708 L Tishri / 4,|-----Ezekiel's 2520 years (year 2520 day 121,1366 L Dhu l-Qa`da / 3,September 18 th
262nd,Fri,5708 L Tishri / 5,|-----Ezekiel's 2520 years (year 2520 day 122,1366 L Dhu l-Qa`da / 4,September 19 th
263rd,Sat,5708 L Tishri / 6,|-----Ezekiel's 2520 years (year 2520 day 123,1366 L Dhu l-Qa`da / 5,September 20 th
264th,Sun,5708 L Tishri / 7,|-----Ezekiel's 2520 years (year 2520 day 124,1366 L Dhu l-Qa`da / 6,September 21 st
265th,Mon,5708 L Tishri / 8,|-----Ezekiel's 2520 years (year 2520 day 125,1366 L Dhu l-Qa`da / 7,September 22 nd
266th EQ,Tue,5708 L Tishri / 9,|-----Ezekiel's 2520 years (year 2520 day 126,1366 L Dhu l-Qa`da / 8,September 23 rd
267th,Wed,5708 L Tishri / 10,|-----Ezekiel's 2520 years (year 2520 day 127,1366 L Dhu l-Qa`da / 9,September 24 th
268th,Thu,5708 L Tishri / 11,|-----Ezekiel's 2520 years (year 2520 day 128,1366 L Dhu l-Qa`da / 10,September 25 th
269th,Fri,5708 L Tishri / 12,|-----Ezekiel's 2520 years (year 2520 day 129,1366 L Dhu l-Qa`da / 11,September 26 th
270th,Sat,5708 L Tishri / 13,|-----Ezekiel's 2520 years (year 2520 day 130,1366 L Dhu l-Qa`da / 12,September 27 th
271st,Sun,5708 L Tishri / 14,|-----Ezekiel's 2520 years (year 2520 day 131,1366 L Dhu l-Qa`da / 13,September 28 th
272nd,Mon,5708 L Tishri / 15,|-----Ezekiel's 2520 years (year 2520 day 132,1366 L Dhu l-Qa`da / 14,September 29 th
273rd,Tue     Full,5708 L Tishri / 16,|-----Ezekiel's 2520 years (year 2520 day 133,1366 L Dhu l-Qa`da / 15,September 30 th
274th,Wed,5708 L Tishri / 17,|-----Ezekiel's 2520 years (year 2520 day 134,1366 L Dhu l-Qa`da / 16,October 1 st
275th,Thu,5708 L Tishri / 18,|-----Ezekiel's 2520 years (year 2520 day 135,1366 L Dhu l-Qa`da / 17,October 2 nd
276th,Fri,5708 L Tishri / 19,|-----Ezekiel's 2520 years (year 2520 day 136,1366 L Dhu l-Qa`da / 18,October 3 rd
277th,Sat,5708 L Tishri / 20,|-----Ezekiel's 2520 years (year 2520 day 137,1366 L Dhu l-Qa`da / 19,October 4 th
278th,Sun,5708 L Tishri / 21,|-----Ezekiel's 2520 years (year 2520 day 138,1366 L Dhu l-Qa`da / 20,October 5 th
279th,Mon,5708 L Tishri / 22,|-----Ezekiel's 2520 years (year 2520 day 139,1366 L Dhu l-Qa`da / 21,October 6 th
280th,Tue,5708 L Tishri / 23,|-----Ezekiel's 2520 years (year 2520 day 140,1366 L Dhu l-Qa`da / 22,October 7 th
281st,Wed,5708 L Tishri / 24,|-----Ezekiel's 2520 years (year 2520 day 141,1366 L Dhu l-Qa`da / 23,October 8 th
282nd,Thu,5708 L Tishri / 25,|-----Ezekiel's 2520 years (year 2520 day 142,1366 L Dhu l-Qa`da / 24,October 9 th
283rd,Fri,5708 L Tishri / 26,|-----Ezekiel's 2520 years (year 2520 day 143,1366 L Dhu l-Qa`da / 25,October 10 th
284th,Sat,5708 L Tishri / 27,|-----Ezekiel's 2520 years (year 2520 day 144,1366 L Dhu l-Qa`da / 26,October 11 th
285th,Sun,5708 L Tishri / 28,|-----Ezekiel's 2520 years (year 2520 day 145,1366 L Dhu l-Qa`da / 27,October 12 th
286th,Mon,5708 L Tishri / 29,|-----Ezekiel's 2520 years (year 2520 day 146,1366 L Dhu l-Qa`da / 28,October 13 th
287th,Tue     New,5708 L Tishri / 30,|-----Ezekiel's 2520 years (year 2520 day 147,1366 L Dhu l-Qa`da / 29,October 14 th
288th,Wed,5708 L Heshvan / 1,|-----Ezekiel's 2520 years (year 2520 day 148,1366 L Dhu l-Qa`da / 30,October 15 th
289th,Thu,5708 L Heshvan / 2,|-----Ezekiel's 2520 years (year 2520 day 149,1366 L Dhu l-Hijja / 1,October 16 th
290th,Fri,5708 L Heshvan / 3,|-----Ezekiel's 2520 years (year 2520 day 150,1366 L Dhu l-Hijja / 2,October 17 th
291st,Sat,5708 L Heshvan / 4,|-----Ezekiel's 2520 years (year 2520 day 151,1366 L Dhu l-Hijja / 3,October 18 th
292nd,Sun,5708 L Heshvan / 5,|-----Ezekiel's 2520 years (year 2520 day 152,1366 L Dhu l-Hijja / 4,October 19 th
293rd,Mon,5708 L Heshvan / 6,|-----Ezekiel's 2520 years (year 2520 day 153,1366 L Dhu l-Hijja / 5,October 20 th
294th,Tue,5708 L Heshvan / 7,|-----Ezekiel's 2520 years (year 2520 day 154,1366 L Dhu l-Hijja / 6,October 21 st
295th,Wed,5708 L Heshvan / 8,|-----Ezekiel's 2520 years (year 2520 day 155,1366 L Dhu l-Hijja / 7,October 22 nd
296th,Thu,5708 L Heshvan / 9,|-----Ezekiel's 2520 years (year 2520 day 156,1366 L Dhu l-Hijja / 8,October 23 rd
297th,Fri,5708 L Heshvan / 10,|-----Ezekiel's 2520 years (year 2520 day 157,1366 L Dhu l-Hijja / 9,October 24 th
298th,Sat,5708 L Heshvan / 11,|-----Ezekiel's 2520 years (year 2520 day 158,1366 L Dhu l-Hijja / 10,October 25 th
299th,Sun,5708 L Heshvan / 12,|-----Ezekiel's 2520 years (year 2520 day 159,1366 L Dhu l-Hijja / 11,October 26 th
300th,Mon,5708 L Heshvan / 13,|-----Ezekiel's 2520 years (year 2520 day 160,1366 L Dhu l-Hijja / 12,October 27 th
301st,Tue,5708 L Heshvan / 14,|-----Ezekiel's 2520 years (year 2520 day 161,1366 L Dhu l-Hijja / 13,October 28 th
302nd,Wed     Full,5708 L Heshvan / 15,|-----Ezekiel's 2520 years (year 2520 day 162,1366 L Dhu l-Hijja / 14,October 29 th
303rd,Thu,5708 L Heshvan / 16,|-----Ezekiel's 2520 years (year 2520 day 163,1366 L Dhu l-Hijja / 15,October 30 th
304th,Fri,5708 L Heshvan / 17,|-----Ezekiel's 2520 years (year 2520 day 164,1366 L Dhu l-Hijja / 16,October 31 st
305th,Sat,5708 L Heshvan / 18,|-----Ezekiel's 2520 years (year 2520 day 165,1366 L Dhu l-Hijja / 17,November 1 st
306th,Sun,5708 L Heshvan / 19,|-----Ezekiel's 2520 years (year 2520 day 166,1366 L Dhu l-Hijja / 18,November 2 nd
307th,Mon,5708 L Heshvan / 20,|-----Ezekiel's 2520 years (year 2520 day 167,1366 L Dhu l-Hijja / 19,November 3 rd
308th,Tue,5708 L Heshvan / 21,|-----Ezekiel's 2520 years (year 2520 day 168,1366 L Dhu l-Hijja / 20,November 4 th
309th,Wed,5708 L Heshvan / 22,|-----Ezekiel's 2520 years (year 2520 day 169,1366 L Dhu l-Hijja / 21,November 5 th
310th,Thu,5708 L Heshvan / 23,|-----Ezekiel's 2520 years (year 2520 day 170,1366 L Dhu l-Hijja / 22,November 6 th
311th,Fri,5708 L Heshvan / 24,|-----Ezekiel's 2520 years (year 2520 day 171,1366 L Dhu l-Hijja / 23,November 7 th
312th,Sat,5708 L Heshvan / 25,|-----Ezekiel's 2520 years (year 2520 day 172,1366 L Dhu l-Hijja / 24,November 8 th
313th,Sun,5708 L Heshvan / 26,|-----Ezekiel's 2520 years (year 2520 day 173,1366 L Dhu l-Hijja / 25,November 9 th
314th,Mon,5708 L Heshvan / 27,|-----Ezekiel's 2520 years (year 2520 day 174,1366 L Dhu l-Hijja / 26,November 10 th
315th,Tue,5708 L Heshvan / 28,|-----Ezekiel's 2520 years (year 2520 day 175,1366 L Dhu l-Hijja / 27,November 11 th
316th,Wed     New,5708 L Heshvan / 29,|-----Ezekiel's 2520 years (year 2520 day 176,1366 L Dhu l-Hijja / 28,November 12 th
317th,Thu,5708 L Heshvan / 30,|-----Ezekiel's 2520 years (year 2520 day 177,1366 L Dhu l-Hijja / 29,November 13 th
318th,Fri,5708 L Kislev / 1,|-----Ezekiel's 2520 years (year 2520 day 178,1366 L Dhu l-Hijja / 30,November 14 th
319th,Sat,5708 L Kislev / 2,|-----Ezekiel's 2520 years (year 2520 day 179,1367 Muharram / 1 New Year,November 15 th
320th,Sun,5708 L Kislev / 3,|-----Ezekiel's 2520 years (year 2520 day 180,1367 Muharram / 2,November 16 th
321st,Mon,5708 L Kislev / 4,|-----Ezekiel's 2520 years (year 2520 day 181,1367 Muharram / 3,November 17 th
322nd,Tue,5708 L Kislev / 5,|-----Ezekiel's 2520 years (year 2520 day 182,1367 Muharram / 4,November 18 th
323rd,Wed,5708 L Kislev / 6,|-----Ezekiel's 2520 years (year 2520 day 183,1367 Muharram / 5,November 19 th
324th,Thu,5708 L Kislev / 7,|-----Ezekiel's 2520 years (year 2520 day 184,1367 Muharram / 6,November 20 th
325th,Fri,5708 L Kislev / 8,|-----Ezekiel's 2520 years (year 2520 day 185,1367 Muharram / 7,November 21 st
326th,Sat,5708 L Kislev / 9,|-----Ezekiel's 2520 years (year 2520 day 186,1367 Muharram / 8,November 22 nd
327th,Sun,5708 L Kislev / 10,|-----Ezekiel's 2520 years (year 2520 day 187,1367 Muharram / 9,November 23 rd
328th,Mon,5708 L Kislev / 11,|-----Ezekiel's 2520 years (year 2520 day 188,1367 Muharram / 10,November 24 th
329th,Tue,5708 L Kislev / 12,|-----Ezekiel's 2520 years (year 2520 day 189,1367 Muharram / 11,November 25 th
330th,Wed,5708 L Kislev / 13,|-----Ezekiel's 2520 years (year 2520 day 190,1367 Muharram / 12,November 26 th
331st,Thu,5708 L Kislev / 14,|-----Ezekiel's 2520 years (year 2520 day 191,1367 Muharram / 13,November 27 th
332nd,Fri     Full,5708 L Kislev / 15,|-----Ezekiel's 2520 years (year 2520 day 192,1367 Muharram / 14,November 28 th
333rd,Sat,5708 L Kislev / 16,|-----Ezekiel's 2520 years (year 2520 day 193,1367 Muharram / 15,November 29 th
334th,Sun,5708 L Kislev / 17,|-----Ezekiel's 2520 years (year 2520 day 194,1367 Muharram / 16,November 30 th
335th,Mon,5708 L Kislev / 18,|-----Ezekiel's 2520 years (year 2520 day 195,1367 Muharram / 17,December 1 st
336th,Tue,5708 L Kislev / 19,|-----Ezekiel's 2520 years (year 2520 day 196,1367 Muharram / 18,December 2 nd
337th,Wed,5708 L Kislev / 20,|-----Ezekiel's 2520 years (year 2520 day 197,1367 Muharram / 19,December 3 rd
338th,Thu,5708 L Kislev / 21,|-----Ezekiel's 2520 years (year 2520 day 198,1367 Muharram / 20,December 4 th
339th,Fri,5708 L Kislev / 22,|-----Ezekiel's 2520 years (year 2520 day 199,1367 Muharram / 21,December 5 th
340th,Sat,5708 L Kislev / 23,|-----Ezekiel's 2520 years (year 2520 day 200,1367 Muharram / 22,December 6 th
341st,Sun,5708 L Kislev / 24,|-----Ezekiel's 2520 years (year 2520 day 201,1367 Muharram / 23,December 7 th
342nd,Mon,5708 L Kislev / 25,|-----Ezekiel's 2520 years (year 2520 day 202,1367 Muharram / 24,December 8 th
343rd,Tue,5708 L Kislev / 26,|-----Ezekiel's 2520 years (year 2520 day 203,1367 Muharram / 25,December 9 th
344th,Wed,5708 L Kislev / 27,|-----Ezekiel's 2520 years (year 2520 day 204,1367 Muharram / 26,December 10 th
345th,Thu,5708 L Kislev / 28,|-----Ezekiel's 2520 years (year 2520 day 205,1367 Muharram / 27,December 11 th
346th,Fri     New,5708 L Kislev / 29,|-----Ezekiel's 2520 years (year 2520 day 206,1367 Muharram / 28,December 12 th
347th,Sat,5708 L Kislev / 30,|-----Ezekiel's 2520 years (year 2520 day 207,1367 Muharram / 29,December 13 th
348th,Sun,5708 L Teveth / 1,|-----Ezekiel's 2520 years (year 2520 day 208,1367 Muharram / 30,December 14 th
349th,Mon,5708 L Teveth / 2,|-----Ezekiel's 2520 years (year 2520 day 209,1367 Safar / 1,December 15 th
350th,Tue,5708 L Teveth / 3,|-----Ezekiel's 2520 years (year 2520 day 210,1367 Safar / 2,December 16 th
351st,Wed,5708 L Teveth / 4,|-----Ezekiel's 2520 years (year 2520 day 211,1367 Safar / 3,December 17 th
352nd,Thu,5708 L Teveth / 5,|-----Ezekiel's 2520 years (year 2520 day 212,1367 Safar / 4,December 18 th
353rd,Fri,5708 L Teveth / 6,|-----Ezekiel's 2520 years (year 2520 day 213,1367 Safar / 5,December 19 th
354th,Sat,5708 L Teveth / 7,|-----Ezekiel's 2520 years (year 2520 day 214,1367 Safar / 6,December 20 th
355th,Sun,5708 L Teveth / 8,|-----Ezekiel's 2520 years (year 2520 day 215,1367 Safar / 7,December 21 st
356th,Mon,5708 L Teveth / 9,|-----Ezekiel's 2520 years (year 2520 day 216,1367 Safar / 8,December 22 nd
357th,Tue,5708 L Teveth / 10,|-----Ezekiel's 2520 years (year 2520 day 217,1367 Safar / 9,December 23 rd
358th,Wed,5708 L Teveth / 11,|-----Ezekiel's 2520 years (year 2520 day 218,1367 Safar / 10,December 24 th
359th,Thu,5708 L Teveth / 12,|-----Ezekiel's 2520 years (year 2520 day 219,1367 Safar / 11,December 25 th
360th,Fri,5708 L Teveth / 13,|-----Ezekiel's 2520 years (year 2520 day 220,1367 Safar / 12,December 26 th
361st,Sat     Full,5708 L Teveth / 14,|-----Ezekiel's 2520 years (year 2520 day 221,1367 Safar / 13,December 27 th
362nd,Sun,5708 L Teveth / 15,|-----Ezekiel's 2520 years (year 2520 day 222,1367 Safar / 14,December 28 th
363rd,Mon,5708 L Teveth / 16,|-----Ezekiel's 2520 years (year 2520 day 223,1367 Safar / 15,December 29 th
364th,Tue,5708 L Teveth / 17,|-----Ezekiel's 2520 years (year 2520 day 224,1367 Safar / 16,December 30 th
365th,Wed,5708 L Teveth / 18,|-----Ezekiel's 2520 years (year 2520 day 225,1367 Safar / 17,December 31 st
