SOLAR,8000 L,HEBREW,SELEUCID ERA,CAPPADOCIA,EGYPT Civil,JULIAN AUC,HISTORICAL
53rd,Tue     New Moon,3760 L Adar II / 1,311 Dystros / 29,Teiri / 10,PERET Mechir / 28,753 Februarius \ 22,1 BC L Feb \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-153,,,,,
54th,Wed,3760 L Adar II / 2,311 Dystros / 30,Teiri / 11,PERET Mechir / 29,753 Februarius \ 23,1 BC L Feb \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-154,,,,,
55th,Thu,3760 L Adar II / 3,311 Xanthikos / 1,Teiri / 12,PERET Mechir / 30,753 Februarius \ 24,1 BC L Feb \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-155,,,,,
56th,Fri,3760 L Adar II / 4,311 Xanthikos / 2,Teiri / 13,PERET Phamenoth / 1,753 Februarius \ 25,1 BC L Feb \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-156,,,,,
57th,Sat,3760 L Adar II / 5,311 Xanthikos / 3,Teiri / 14,PERET Phamenoth / 2,753 Februarius \ 26,1 BC L Feb \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-157,,,,,
58th,Sun,3760 L Adar II / 6,311 Xanthikos / 4,Teiri / 15,PERET Phamenoth / 3,753 Februarius \ 27,1 BC L Feb \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-158,,,,,
59th,Mon,3760 L Adar II / 7,311 Xanthikos / 5,Teiri / 16,PERET Phamenoth / 4,753 Februarius \ 28,1 BC L Mar \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-159,,,,,
60th,Tue,3760 L Adar II / 8,311 Xanthikos / 6,Teiri / 17,PERET Phamenoth / 5,753 Martius \ 1,1 BC L Mar \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-160,,,,,
61st,Wed,3760 L Adar II / 9,311 Xanthikos / 7,Teiri / 18,PERET Phamenoth / 6,753 Martius \ 2,1 BC L Mar \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-161,,,,,
62nd,Thu,3760 L Adar II / 10,311 Xanthikos / 8,Teiri / 19,PERET Phamenoth / 7,753 Martius \ 3,1 BC L Mar \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-162,,,,,
63rd,Fri,3760 L Adar II / 11,311 Xanthikos / 9,Teiri / 20,PERET Phamenoth / 8,753 Martius \ 4,1 BC L Mar \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-163,,,,,
64th,Sat,3760 L Adar II / 12,311 Xanthikos / 10,Teiri / 21,PERET Phamenoth / 9,753 Martius \ 5,1 BC L Mar \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-164,,,,,
65th,Sun,3760 L Adar II / 13,311 Xanthikos / 11,Teiri / 22,PERET Phamenoth / 10,753 Martius \ 6,1 BC L Mar \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-165,,,,,
66th,Mon     Full Moon,3760 L Adar II / 14,311 Xanthikos / 12,Teiri / 23,PERET Phamenoth / 11,753 Martius \ 7,1 BC L Mar \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-166,,,,,
67th,Tue,3760 L Adar II / 15,311 Xanthikos / 13,Teiri / 24,PERET Phamenoth / 12,753 Martius \ 8,1 BC L Mar \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-167,,,,,
68th,Wed,3760 L Adar II / 16,311 Xanthikos / 14,Teiri / 25,PERET Phamenoth / 13,753 Martius \ 9,1 BC L Mar \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-168,,,,,
69th,Thu,3760 L Adar II / 17,311 Xanthikos / 15,Teiri / 26,PERET Phamenoth / 14,753 Martius \ 10,1 BC L Mar \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-169,,,,,
70th,Fri,3760 L Adar II / 18,311 Xanthikos / 16,Teiri / 27,PERET Phamenoth / 15,753 Martius \ 11,1 BC L Mar \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-170,,,,,
