SOLAR,8000 L,HEBREW,SELEUCID ERA,CAPPADOCIA,EGYPT Civil,JULIAN AUC,HISTORICAL
248th,Mon,3760 Elul / 18,311 Hyperberetaios / 18,Dathusa / 25,AKHET Thoth / 8,753 Sep \ 5,1 BC L Sep \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-348,,,,,
249th,Tue,3760 Elul / 19,311 Hyperberetaios / 19,Dathusa / 26,AKHET Thoth / 9,753 Sep \ 6,1 BC L Sep \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-349,,,,,
250th,Wed,3760 Elul / 20,311 Hyperberetaios / 20,Dathusa / 27,AKHET Thoth / 10,753 Sep \ 7,1 BC L Sep \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-350,,,,,
251st,Thu,3760 Elul / 21,311 Hyperberetaios / 21,Dathusa / 28,AKHET Thoth / 11,753 Sep \ 8,1 BC L Sep \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-351,,,,,
252nd,Fri,3760 Elul / 22,311 Hyperberetaios / 22,Dathusa / 29,AKHET Thoth / 12,753 Sep \ 9,1 BC L Sep \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-352,,,,,
253rd,Sat,3760 Elul / 23,311 Hyperberetaios / 23,Dathusa / 30,AKHET Thoth / 13,753 Sep \ 10,1 BC L Sep \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-353,,,,,
254th,Sun,3760 Elul / 24,311 Hyperberetaios / 24,Osmana / 1,AKHET Thoth / 14,753 Sep \ 11,1 BC L Sep \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-354,,,,,
255th,Mon,3760 Elul / 25,311 Hyperberetaios / 25,Osmana / 2,AKHET Thoth / 15,753 Sep \ 12,1 BC L Sep \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-355,,,,,
256th,Tue,3760 Elul / 26,311 Hyperberetaios / 26,Osmana / 3,AKHET Thoth / 16,753 Sep \ 13,1 BC L Sep \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-356,,,,,
257th,Wed,3760 Elul / 27,311 Hyperberetaios / 27,Osmana / 4,AKHET Thoth / 17,753 Sep \ 14,1 BC L Sep \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-357,,,,,
258th,Thu     New Moon,3760 Elul / 28,311 Hyperberetaios / 28,Osmana / 5,AKHET Thoth / 18,753 Sep \ 15,1 BC L Sep \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-358,,,,,
259th,Fri,3760 Elul / 29,311 Hyperberetaios / 29,Osmana / 6,AKHET Thoth / 19,753 Sep \ 16,1 BC L Sep \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-359,,,,,
260th,Sat,3761 Tishri / 1,311 Hyperberetaios / 30,Osmana / 7,AKHET Thoth / 20,753 Sep \ 17,1 BC L Sep \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-360,,,,,
261st,Sun,3761 Tishri / 2,312 Dios / 1,Osmana / 8,AKHET Thoth / 21,753 Sep \ 18,1 BC L Sep \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-1,,,,,
262nd,Mon,3761 Tishri / 3,312 Dios / 2,Osmana / 9,AKHET Thoth / 22,753 Sep \ 19,1 BC L Sep \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-2,,,,,
263rd,Tue,3761 Tishri / 4,312 Dios / 3,Osmana / 10,AKHET Thoth / 23,753 Sep \ 20,1 BC L Sep \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-3,,,,,
264th,Wed,3761 Tishri / 5,312 Dios / 4,Osmana / 11,AKHET Thoth / 24,753 Sep \ 21,1 BC L Sep \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-4,,,,,
265th,Thu,3761 Tishri / 6,312 Dios / 5,Osmana / 12,AKHET Thoth / 25,753 Sep \ 22,1 BC L Sep \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-5,,,,,
266th Equinox,Fri,3761 Tishri / 7,312 Dios / 6,Osmana / 13,AKHET Thoth / 26,753 Sep \ 23,1 BC L Sep \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-6,,,,,
267th,Sat,3761 Tishri / 8,312 Dios / 7,Osmana / 14,AKHET Thoth / 27,753 Sep \ 24,1 BC L Sep \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-7,,,,,
268th,Sun,3761 Tishri / 9,312 Dios / 8,Osmana / 15,AKHET Thoth / 28,753 Sep \ 25,1 BC L Sep \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-8,,,,,
269th,Mon,3761 Tishri / 10,312 Dios / 9,Osmana / 16,AKHET Thoth / 29,753 Sep \ 26,1 BC L Sep \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-9,,,,,
270th,Tue,3761 Tishri / 11,312 Dios / 10,Osmana / 17,AKHET Thoth / 30,753 Sep \ 27,1 BC L Sep \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-10,,,,,
271st,Wed,3761 Tishri / 12,312 Dios / 11,Osmana / 18,AKHET Phaophi / 1,753 Sep \ 28,1 BC L Sep \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-11,,,,,
272nd,Thu,3761 Tishri / 13,312 Dios / 12,Osmana / 19,AKHET Phaophi / 2,753 Sep \ 29,1 BC L Sep \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-12,,,,,
273rd,Fri,3761 Tishri / 14,312 Dios / 13,Osmana / 20,AKHET Phaophi / 3,753 Sep \ 30,1 BC L Oct \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-13,,,,,
274th,Sat     Full Moon,3761 Tishri / 15,312 Dios / 14,Osmana / 21,AKHET Phaophi / 4,753 Oct \ 1,1 BC L Oct \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-14,,,,,
275th,Sun,3761 Tishri / 16,312 Dios / 15,Osmana / 22,AKHET Phaophi / 5,753 Oct \ 2,1 BC L Oct \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-15,,,,,
276th,Mon,3761 Tishri / 17,312 Dios / 16,Osmana / 23,AKHET Phaophi / 6,753 Oct \ 3,1 BC L Oct \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-16,,,,,
277th,Tue,3761 Tishri / 18,312 Dios / 17,Osmana / 24,AKHET Phaophi / 7,753 Oct \ 4,1 BC L Oct \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-17,,,,,
278th,Wed,3761 Tishri / 19,312 Dios / 18,Osmana / 25,AKHET Phaophi / 8,753 Oct \ 5,1 BC L Oct \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-18,,,,,
279th,Thu,3761 Tishri / 20,312 Dios / 19,Osmana / 26,AKHET Phaophi / 9,753 Oct \ 6,1 BC L Oct \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-19,,,,,
280th,Fri,3761 Tishri / 21,312 Dios / 20,Osmana / 27,AKHET Phaophi / 10,753 Oct \ 7,1 BC L Oct \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-20,,,,,
281st,Sat,3761 Tishri / 22,312 Dios / 21,Osmana / 28,AKHET Phaophi / 11,753 Oct \ 8,1 BC L Oct \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-21,,,,,
282nd,Sun,3761 Tishri / 23,312 Dios / 22,Osmana / 29,AKHET Phaophi / 12,753 Oct \ 9,1 BC L Oct \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-22,,,,,
283rd,Mon,3761 Tishri / 24,312 Dios / 23,Osmana / 30,AKHET Phaophi / 13,753 Oct \ 10,1 BC L Oct \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-23,,,,,
284th,Tue,3761 Tishri / 25,312 Dios / 24,Sondara / 1,AKHET Phaophi / 14,753 Oct \ 11,1 BC L Oct \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-24,,,,,
285th,Wed,3761 Tishri / 26,312 Dios / 25,Sondara / 2,AKHET Phaophi / 15,753 Oct \ 12,1 BC L Oct \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-25,,,,,
286th,Thu,3761 Tishri / 27,312 Dios / 26,Sondara / 3,AKHET Phaophi / 16,753 Oct \ 13,1 BC L Oct \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-26,,,,,
287th,Fri,3761 Tishri / 28,312 Dios / 27,Sondara / 4,AKHET Phaophi / 17,753 Oct \ 14,1 BC L Oct \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-27,,,,,
288th,Sat     New Moon,3761 Tishri / 29,312 Dios / 28,Sondara / 5,AKHET Phaophi / 18,753 Oct \ 15,1 BC L Oct \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-28,,,,,
289th,Sun,3761 Tishri / 30,312 Dios / 29,Sondara / 6,AKHET Phaophi / 19,753 Oct \ 16,1 BC L Oct \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-29,,,,,
290th,Mon,3761 Heshvan / 1,312 Dios / 30,Sondara / 7,AKHET Phaophi / 20,753 Oct \ 17,1 BC L Oct \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-30,,,,,
291st,Tue,3761 Heshvan / 2,312 Apellaios / 1,Sondara / 8,AKHET Phaophi / 21,753 Oct \ 18,1 BC L Oct \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-31,,,,,
292nd,Wed,3761 Heshvan / 3,312 Apellaios / 2,Sondara / 9,AKHET Phaophi / 22,753 Oct \ 19,1 BC L Oct \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-32,,,,,
293rd,Thu,3761 Heshvan / 4,312 Apellaios / 3,Sondara / 10,AKHET Phaophi / 23,753 Oct \ 20,1 BC L Oct \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-33,,,,,
294th,Fri,3761 Heshvan / 5,312 Apellaios / 4,Sondara / 11,AKHET Phaophi / 24,753 Oct \ 21,1 BC L Oct \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-34,,,,,
295th,Sat,3761 Heshvan / 6,312 Apellaios / 5,Sondara / 12,AKHET Phaophi / 25,753 Oct \ 22,1 BC L Oct \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-35,,,,,
296th,Sun,3761 Heshvan / 7,312 Apellaios / 6,Sondara / 13,AKHET Phaophi / 26,753 Oct \ 23,1 BC L Oct \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-36,,,,,
297th,Mon,3761 Heshvan / 8,312 Apellaios / 7,Sondara / 14,AKHET Phaophi / 27,753 Oct \ 24,1 BC L Oct \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-37,,,,,
298th,Tue,3761 Heshvan / 9,312 Apellaios / 8,Sondara / 15,AKHET Phaophi / 28,753 Oct \ 25,1 BC L Oct \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-38,,,,,
299th,Wed,3761 Heshvan / 10,312 Apellaios / 9,Sondara / 16,AKHET Phaophi / 29,753 Oct \ 26,1 BC L Oct \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-39,,,,,
300th,Thu,3761 Heshvan / 11,312 Apellaios / 10,Sondara / 17,AKHET Phaophi / 30,753 Oct \ 27,1 BC L Oct \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-40,,,,,
301st,Fri,3761 Heshvan / 12,312 Apellaios / 11,Sondara / 18,AKHET Athyr / 1,753 Oct \ 28,1 BC L Oct \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-41,,,,,
302nd,Sat,3761 Heshvan / 13,312 Apellaios / 12,Sondara / 19,AKHET Athyr / 2,753 Oct \ 29,1 BC L Oct \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-42,,,,,
303rd,Sun     Full Moon,3761 Heshvan / 14,312 Apellaios / 13,Sondara / 20,AKHET Athyr / 3,753 Oct \ 30,1 BC L Oct \ 31
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-43,,,,,
304th,Mon,3761 Heshvan / 15,312 Apellaios / 14,Sondara / 21,AKHET Athyr / 4,753 Oct \ 31,1 BC L Nov \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-44,,,,,
305th,Tue,3761 Heshvan / 16,312 Apellaios / 15,Sondara / 22,AKHET Athyr / 5,753 Nov \ 1,1 BC L Nov \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-45,,,,,
306th,Wed,3761 Heshvan / 17,312 Apellaios / 16,Sondara / 23,AKHET Athyr / 6,753 Nov \ 2,1 BC L Nov \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-46,,,,,
307th,Thu,3761 Heshvan / 18,312 Apellaios / 17,Sondara / 24,AKHET Athyr / 7,753 Nov \ 3,1 BC L Nov \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-47,,,,,
308th,Fri,3761 Heshvan / 19,312 Apellaios / 18,Sondara / 25,AKHET Athyr / 8,753 Nov \ 4,1 BC L Nov \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-48,,,,,
309th,Sat,3761 Heshvan / 20,312 Apellaios / 19,Sondara / 26,AKHET Athyr / 9,753 Nov \ 5,1 BC L Nov \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-49,,,,,
310th,Sun,3761 Heshvan / 21,312 Apellaios / 20,Sondara / 27,AKHET Athyr / 10,753 Nov \ 6,1 BC L Nov \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-50,,,,,
311th,Mon,3761 Heshvan / 22,312 Apellaios / 21,Sondara / 28,AKHET Athyr / 11,753 Nov \ 7,1 BC L Nov \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-51,,,,,
312th,Tue,3761 Heshvan / 23,312 Apellaios / 22,Sondara / 29,AKHET Athyr / 12,753 Nov \ 8,1 BC L Nov \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-52,,,,,
313th,Wed,3761 Heshvan / 24,312 Apellaios / 23,Sondara / 30,AKHET Athyr / 13,753 Nov \ 9,1 BC L Nov \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-53,,,,,
314th,Thu,3761 Heshvan / 25,312 Apellaios / 24,day 1,AKHET Athyr / 14,753 Nov \ 10,1 BC L Nov \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-54,,,,,
315th,Fri,3761 Heshvan / 26,312 Apellaios / 25,day 2,AKHET Athyr / 15,753 Nov \ 11,1 BC L Nov \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-55,,,,,
316th,Sat,3761 Heshvan / 27,312 Apellaios / 26,day 3,AKHET Athyr / 16,753 Nov \ 12,1 BC L Nov \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-56,,,,,
317th,Sun     New Moon,3761 Heshvan / 28,312 Apellaios / 27,day 4,AKHET Athyr / 17,753 Nov \ 13,1 BC L Nov \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-57,,,,,
318th,Mon,3761 Heshvan / 29,312 Apellaios / 28,day 5,AKHET Athyr / 18,753 Nov \ 14,1 BC L Nov \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-58,,,,,
319th,Tue,3761 Kislev / 1,312 Apellaios / 29,Arartana / 1 New Year,AKHET Athyr / 19,753 Nov \ 15,1 BC L Nov \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-59,,,,,
320th,Wed,3761 Kislev / 2,312 Audynaios / 1,Arartana / 2,AKHET Athyr / 20,753 Nov \ 16,1 BC L Nov \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-60,,,,,
321st,Thu,3761 Kislev / 3,312 Audynaios / 2,Arartana / 3,AKHET Athyr / 21,753 Nov \ 17,1 BC L Nov \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-61,,,,,
322nd,Fri,3761 Kislev / 4,312 Audynaios / 3,Arartana / 4,AKHET Athyr / 22,753 Nov \ 18,1 BC L Nov \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-62,,,,,
323rd,Sat,3761 Kislev / 5,312 Audynaios / 4,Arartana / 5,AKHET Athyr / 23,753 Nov \ 19,1 BC L Nov \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-63,,,,,
324th,Sun,3761 Kislev / 6,312 Audynaios / 5,Arartana / 6,AKHET Athyr / 24,753 Nov \ 20,1 BC L Nov \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-64,,,,,
325th,Mon,3761 Kislev / 7,312 Audynaios / 6,Arartana / 7,AKHET Athyr / 25,753 Nov \ 21,1 BC L Nov \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-65,,,,,
326th,Tue,3761 Kislev / 8,312 Audynaios / 7,Arartana / 8,AKHET Athyr / 26,753 Nov \ 22,1 BC L Nov \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-66,,,,,
327th,Wed,3761 Kislev / 9,312 Audynaios / 8,Arartana / 9,AKHET Athyr / 27,753 Nov \ 23,1 BC L Nov \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-67,,,,,
328th,Thu,3761 Kislev / 10,312 Audynaios / 9,Arartana / 10,AKHET Athyr / 28,753 Nov \ 24,1 BC L Nov \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-68,,,,,
329th,Fri,3761 Kislev / 11,312 Audynaios / 10,Arartana / 11,AKHET Athyr / 29,753 Nov \ 25,1 BC L Nov \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-69,,,,,
330th,Sat,3761 Kislev / 12,312 Audynaios / 11,Arartana / 12,AKHET Athyr / 30,753 Nov \ 26,1 BC L Nov \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-70,,,,,
331st,Sun,3761 Kislev / 13,312 Audynaios / 12,Arartana / 13,AKHET Khoiak / 1,753 Nov \ 27,1 BC L Nov \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-71,,,,,
332nd,Mon,3761 Kislev / 14,312 Audynaios / 13,Arartana / 14,AKHET Khoiak / 2,753 Nov \ 28,1 BC L Nov \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-72,,,,,
333rd,Tue     Full moon,3761 Kislev / 15,312 Audynaios / 14,Arartana / 15,AKHET Khoiak / 3,753 Nov \ 29,1 BC L Nov \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-73,,,,,
334th,Wed,3761 Kislev / 16,312 Audynaios / 15,Arartana / 16,AKHET Khoiak / 4,753 Nov \ 30,1 BC L Dec \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-74,,,,,
335th,Thu,3761 Kislev / 17,312 Audynaios / 16,Arartana / 17,AKHET Khoiak / 5,753 Dec \ 1,1 BC L Dec \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-75,,,,,
336th,Fri,3761 Kislev / 18,312 Audynaios / 17,Arartana / 18,AKHET Khoiak / 6,753 Dec \ 2,1 BC L Dec \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-76,,,,,
337th,Sat,3761 Kislev / 19,312 Audynaios / 18,Arartana / 19,AKHET Khoiak / 7,753 Dec \ 3,1 BC L Dec \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-77,,,,,
338th,Sun,3761 Kislev / 20,312 Audynaios / 19,Arartana / 20,AKHET Khoiak / 8,753 Dec \ 4,1 BC L Dec \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-78,,,,,
339th,Mon,3761 Kislev / 21,312 Audynaios / 20,Arartana / 21,AKHET Khoiak / 9,753 Dec \ 5,1 BC L Dec \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-79,,,,,
340th,Tue,3761 Kislev / 22,312 Audynaios / 21,Arartana / 22,AKHET Khoiak / 10,753 Dec \ 6,1 BC L Dec \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-80,,,,,
341st,Wed,3761 Kislev / 23,312 Audynaios / 22,Arartana / 23,AKHET Khoiak / 11,753 Dec \ 7,1 BC L Dec \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-81,,,,,
342nd,Thu,3761 Kislev / 24,312 Audynaios / 23,Arartana / 24,AKHET Khoiak / 12,753 Dec \ 8,1 BC L Dec \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-82,,,,,
343rd,Fri,3761 Kislev / 25,312 Audynaios / 24,Arartana / 25,AKHET Khoiak / 13,753 Dec \ 9,1 BC L Dec \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-83,,,,,
344th,Sat,3761 Kislev / 26,312 Audynaios / 25,Arartana / 26,AKHET Khoiak / 14,753 Dec \ 10,1 BC L Dec \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-84,,,,,
345th,Sun,3761 Kislev / 27,312 Audynaios / 26,Arartana / 27,AKHET Khoiak / 15,753 Dec \ 11,1 BC L Dec \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-85,,,,,
346th,Mon,3761 Kislev / 28,312 Audynaios / 27,Arartana / 28,AKHET Khoiak / 16,753 Dec \ 12,1 BC L Dec \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-86,,,,,
347th,Tue     New Moon,3761 Kislev / 29,312 Audynaios / 28,Arartana / 29,AKHET Khoiak / 17,753 Dec \ 13,1 BC L Dec \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-87,,,,,
348th,Wed,3761 Kislev / 30,312 Audynaios / 29,Arartana / 30,AKHET Khoiak / 18,753 Dec \ 14,1 BC L Dec \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-88,,,,,
349th,Thu,3761 Teveth / 1,312 Audynaios / 30,Artegeste / 1,AKHET Khoiak / 19,753 Dec \ 15,1 BC L Dec \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-89,,,,,
350th,Fri,3761 Teveth / 2,312 Peritios / 1,Artegeste / 2,AKHET Khoiak / 20,753 Dec \ 16,1 BC L Dec \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-90,,,,,
351st,Sat,3761 Teveth / 3,312 Peritios / 2,Artegeste / 3,AKHET Khoiak / 21,753 Dec \ 17,1 BC L Dec \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-91,,,,,
352nd,Sun,3761 Teveth / 4,312 Peritios / 3,Artegeste / 4,AKHET Khoiak / 22,753 Dec \ 18,1 BC L Dec \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-92,,,,,
353rd,Mon,3761 Teveth / 5,312 Peritios / 4,Artegeste / 5,AKHET Khoiak / 23,753 Dec \ 19,1 BC L Dec \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-93,,,,,
354th,Tue,3761 Teveth / 6,312 Peritios / 5,Artegeste / 6,AKHET Khoiak / 24,753 Dec \ 20,1 BC L Dec \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-94,,,,,
355th Solstice,Wed,3761 Teveth / 7,312 Peritios / 6,Artegeste / 7,AKHET Khoiak / 25,753 Dec \ 21,1 BC L Dec \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-95,,,,,
356th,Thu,3761 Teveth / 8,312 Peritios / 7,Artegeste / 8,AKHET Khoiak / 26,753 Dec \ 22,1 BC L Dec \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-96,,,,,
357th,Fri,3761 Teveth / 9,312 Peritios / 8,Artegeste / 9,AKHET Khoiak / 27,753 Dec \ 23,1 BC L Dec \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-97,,,,,
358th,Sat,3761 Teveth / 10,312 Peritios / 9,Artegeste / 10,AKHET Khoiak / 28,753 Dec \ 24,1 BC L Dec \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-98,,,,,
359th,Sun,3761 Teveth / 11,312 Peritios / 10,Artegeste / 11,AKHET Khoiak / 29,753 Dec \ 25,1 BC L Dec \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-99,,,,,
360th,Mon,3761 Teveth / 12,312 Peritios / 11,Artegeste / 12,AKHET Khoiak / 30,753 Dec \ 26,1 BC L Dec \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-100,,,,,
361st,Tue,3761 Teveth / 13,312 Peritios / 12,Artegeste / 13,PERET Tybi / 1,753 Dec \ 27,1 BC L Dec \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-101,,,,,
362nd,Wed     Full Moon,3761 Teveth / 14,312 Peritios / 13,Artegeste / 14,PERET Tybi / 2,753 Dec \ 28,1 BC L Dec \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-102,,,,,
,,[-----Eclipse,,,,,
363rd,Thu,3761 Teveth / 15,312 Peritios / 14,Artegeste / 15,PERET Tybi / 3,753 Dec \ 29,1 BC L Dec \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-103,,,,,
364th,Fri,3761 Teveth / 16,312 Peritios / 15,Artegeste / 16,PERET Tybi / 4,753 Dec \ 30,1 BC L Dec \ 31
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-104,,,,,
365th,Sat,3761 Teveth / 17,312 Peritios / 16,Artegeste / 17,PERET Tybi / 5,753 Dec \ 31,1 AD Jan \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-105,,,,,
366th,Sun,3761 Teveth / 18,312 Peritios / 17,Artegeste / 18,PERET Tybi / 6,754 Ianuarius \ 1,1 AD Jan \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 3-106,,,,,
