SOLAR,7397,Exile,HISTORICAL
158th,Wed,Exile year 2 day 332,604 Jun / 14
159th,Thu,Exile year 2 day 333,604 Jun / 15
160th S,Fri,Exile year 2 day 334,604 Jun / 16
161st,Sat,Exile year 2 day 335,604 Jun / 17
162nd,Sun,Exile year 2 day 336,604 Jun / 18
163rd,Mon,Exile year 2 day 337,604 Jun / 19
164th,Tue,Exile year 2 day 338,604 Jun / 20
165th,Wed,Exile year 2 day 339,604 Jun / 21
166th,Thu,Exile year 2 day 340,604 Jun / 22
167th,Fri,Exile year 2 day 341,604 Jun / 23
168th,Sat,Exile year 2 day 342,604 Jun / 24
169th,Sun,Exile year 2 day 343,604 Jun / 25
170th,Mon     New,Exile year 2 day 344,604 Jun / 26
171st,Tue,Exile year 2 day 345,604 Jun / 27
172nd,Wed,Exile year 2 day 346,604 Jun / 28
173rd,Thu,Exile year 2 day 347,604 Jun / 29
174th,Fri,Exile year 2 day 348,604 Jun / 30
175th,Sat,Exile year 2 day 349,604 Jul / 1
176th,Sun,Exile year 2 day 350,604 Jul / 2
177th,Mon,Exile year 2 day 351,604 Jul / 3
178th,Tue,Exile year 2 day 352,604 Jul / 4
179th,Wed,Exile year 2 day 353,604 Jul / 5
180th,Thu,Exile year 2 day 354,604 Jul / 6
181st,Fri,Exile year 2 day 355,604 Jul / 7
182nd,Sat,Exile year 2 day 356,604 Jul / 8
183rd,Sun,Exile year 2 day 357,604 Jul / 9
184th,Mon,Exile year 2 day 358,604 Jul / 10
185th,Tue,Exile year 2 day 359,604 Jul / 11
186th,Wed     Full,Exile year 2 day 360,604 Jul / 12
187th,Thu,Exile year 3 day 1,604 Jul / 13
188th,Fri,Exile year 3 day 2,604 Jul / 14
189th,Sat,Exile year 3 day 3,604 Jul / 15
190th,Sun,Exile year 3 day 4,604 Jul / 16
191st,Mon,Exile year 3 day 5,604 Jul / 17
192nd,Tue,Exile year 3 day 6,604 Jul / 18
193rd,Wed,Exile year 3 day 7,604 Jul / 19
194th,Thu,Exile year 3 day 8,604 Jul / 20
195th,Fri,Exile year 3 day 9,604 Jul / 21
196th,Sat,Exile year 3 day 10,604 Jul / 22
197th,Sun,Exile year 3 day 11,604 Jul / 23
198th,Mon,Exile year 3 day 12,604 Jul / 24
199th,Tue,Exile year 3 day 13,604 Jul / 25
200th,Wed     New,Exile year 3 day 14,604 Jul / 26
201st,Thu,Exile year 3 day 15,604 Jul / 27
202nd,Fri,Exile year 3 day 16,604 Jul / 28
203rd,Sat,Exile year 3 day 17,604 Jul / 29
204th,Sun,Exile year 3 day 18,604 Jul / 30
205th,Mon,Exile year 3 day 19,604 Jul / 31
206th,Tue,Exile year 3 day 20,604 Aug / 1
207th,Wed,Exile year 3 day 21,604 Aug / 2
208th,Thu,Exile year 3 day 22,604 Aug / 3
209th,Fri,Exile year 3 day 23,604 Aug / 4
210th,Sat,Exile year 3 day 24,604 Aug / 5
211th,Sun,Exile year 3 day 25,604 Aug / 6
212th,Mon,Exile year 3 day 26,604 Aug / 7
213th,Tue,Exile year 3 day 27,604 Aug / 8
214th,Wed,Exile year 3 day 28,604 Aug / 9
215th,Thu     Full,Exile year 3 day 29,604 Aug / 10
216th,Fri,Exile year 3 day 30,604 Aug / 11
217th,Sat,Exile year 3 day 31,604 Aug / 12
218th,Sun,Exile year 3 day 32,604 Aug / 13
219th,Mon,Exile year 3 day 33,604 Aug / 14
220th,Tue,Exile year 3 day 34,604 Aug / 15
221st,Wed,Exile year 3 day 35,604 Aug / 16
222nd,Thu,Exile year 3 day 36,604 Aug / 17
223rd,Fri,Exile year 3 day 37,604 Aug / 18
224th,Sat,Exile year 3 day 38,604 Aug / 19
225th,Sun,Exile year 3 day 39,604 Aug / 20
226th,Mon,Exile year 3 day 40,604 Aug / 21
227th,Tue,Exile year 3 day 41,604 Aug / 22
228th,Wed,Exile year 3 day 42,604 Aug / 23
229th,Thu     New,Exile year 3 day 43,604 Aug / 24
230th,Fri,Exile year 3 day 44,604 Aug / 25
231st,Sat,Exile year 3 day 45,604 Aug / 26
232nd,Sun,Exile year 3 day 46,604 Aug / 27
233rd,Mon,Exile year 3 day 47,604 Aug / 28
234th,Tue,Exile year 3 day 48,604 Aug / 29
235th,Wed,Exile year 3 day 49,604 Aug / 30
236th,Thu,Exile year 3 day 50,604 Aug / 31
237th,Fri,Exile year 3 day 51,604 Sep / 1
238th,Sat,Exile year 3 day 52,604 Sep / 2
239th,Sun,Exile year 3 day 53,604 Sep / 3
240th,Mon,Exile year 3 day 54,604 Sep / 4
241st,Tue,Exile year 3 day 55,604 Sep / 5
242nd,Wed,Exile year 3 day 56,604 Sep / 6
243rd,Thu,Exile year 3 day 57,604 Sep / 7
244th,Fri,Exile year 3 day 58,604 Sep / 8
245th,Sat     Full,Exile year 3 day 59,604 Sep / 9
246th,Sun,Exile year 3 day 60,604 Sep / 10
247th,Mon,Exile year 3 day 61,604 Sep / 11
248th,Tue,Exile year 3 day 62,604 Sep / 12
249th,Wed,Exile year 3 day 63,604 Sep / 13
250th,Thu,Exile year 3 day 64,604 Sep / 14
251st,Fri,Exile year 3 day 65,604 Sep / 15
252nd,Sat,Exile year 3 day 66,604 Sep / 16
253rd,Sun,Exile year 3 day 67,604 Sep / 17
254th,Mon,Exile year 3 day 68,604 Sep / 18
255th,Tue,Exile year 3 day 69,604 Sep / 19
256th,Wed,Exile year 3 day 70,604 Sep / 20
257th,Thu,Exile year 3 day 71,604 Sep / 21
258th,Fri,Exile year 3 day 72,604 Sep / 22
259th,Sat     New,Exile year 3 day 73,604 Sep / 23
260th,Sun,Exile year 3 day 74,604 Sep / 24
261st,Mon,Exile year 3 day 75,604 Sep / 25
262nd,Tue,Exile year 3 day 76,604 Sep / 26
263rd,Wed,Exile year 3 day 77,604 Sep / 27
264th,Thu,Exile year 3 day 78,604 Sep / 28
265th,Fri,Exile year 3 day 79,604 Sep / 29
266th EQ,Sat,Exile year 3 day 80,604 Sep / 30
