SOLAR,9948 L,HEBREW,ISLAMIC,GREGORIAN 1948
84th,Wed,5708 L Veadar / 13,1367 Jumada l-Ula / 13,March / 24
,,|Ezekiel's 2520 years (year 2520 day 309,,
85th,Thu     Full,5708 L Veadar / 14,1367 Jumada l-Ula / 14,March / 25
,,|Ezekiel's 2520 years (year 2520 day 310,,
86th,Fri,5708 L Veadar / 15,1367 Jumada l-Ula / 15,March / 26
,,|Ezekiel's 2520 years (year 2520 day 311,,
87th,Sat,5708 L Veadar / 16,1367 Jumada l-Ula / 16,March / 27
,,|Ezekiel's 2520 years (year 2520 day 312,,
88th,Sun,5708 L Veadar / 17,1367 Jumada l-Ula / 17,March / 28
,,|Ezekiel's 2520 years (year 2520 day 313,,
89th,Mon,5708 L Veadar / 18,1367 Jumada l-Ula / 18,March / 29
,,|Ezekiel's 2520 years (year 2520 day 314,,
90th,Tue,5708 L Veadar / 19,1367 Jumada l-Ula / 19,March / 30
,,|Ezekiel's 2520 years (year 2520 day 315,,
91st,Wed,5708 L Veadar / 20,1367 Jumada l-Ula / 20,March / 31
,,|Ezekiel's 2520 years (year 2520 day 316,,
92nd,Thu,5708 L Veadar / 21,1367 Jumada l-Ula / 21,April / 1
,,|Ezekiel's 2520 years (year 2520 day 317,,
93rd,Fri,5708 L Veadar / 22,1367 Jumada l-Ula / 22,April / 2
,,|Ezekiel's 2520 years (year 2520 day 318,,
94th,Sat,5708 L Veadar / 23,1367 Jumada l-Ula / 23,April / 3
,,|Ezekiel's 2520 years (year 2520 day 319,,
95th,Sun,5708 L Veadar / 24,1367 Jumada l-Ula / 24,April / 4
,,|Ezekiel's 2520 years (year 2520 day 320,,
96th,Mon,5708 L Veadar / 25,1367 Jumada l-Ula / 25,April / 5
,,|Ezekiel's 2520 years (year 2520 day 321,,
97th,Tue,5708 L Veadar / 26,1367 Jumada l-Ula / 26,April / 6
,,|Ezekiel's 2520 years (year 2520 day 322,,
98th,Wed,5708 L Veadar / 27,1367 Jumada l-Ula / 27,April / 7
,,|Ezekiel's 2520 years (year 2520 day 323,,
99th,Thu,5708 L Veadar / 28,1367 Jumada l-Ula / 28,April / 8
,,|Ezekiel's 2520 years (year 2520 day 324,,
100th,Fri     New,5708 L Veadar / 29,1367 Jumada l-Ula / 29,April / 9
,,|Ezekiel's 2520 years (year 2520 day 325,,
101st,Sat,5708 L Nisan / 1,1367 Jumada l-Ula / 30,April / 10
,,|Ezekiel's 2520 years (year 2520 day 326,,
102nd,Sun,5708 L Nisan / 2,1367 Jumada t-Tania / 1,April / 11
,,|Ezekiel's 2520 years (year 2520 day 327,,
103rd,Mon,5708 L Nisan / 3,1367 Jumada t-Tania / 2,April / 12
,,|Ezekiel's 2520 years (year 2520 day 328,,
104th,Tue,5708 L Nisan / 4,1367 Jumada t-Tania / 3,April / 13
,,|Ezekiel's 2520 years (year 2520 day 329,,
105th,Wed,5708 L Nisan / 5,1367 Jumada t-Tania / 4,April / 14
,,|Ezekiel's 2520 years (year 2520 day 330,,
106th,Thu,5708 L Nisan / 6,1367 Jumada t-Tania / 5,April / 15
,,|Ezekiel's 2520 years (year 2520 day 331,,
