SOLAR,7647,HISTORICAL
315th,Mon,354 Nov / 16
316th,Tue,354 Nov / 17
317th,Wed     New,354 Nov / 18
318th,Thu,354 Nov / 19
319th,Fri,354 Nov / 20
320th,Sat,354 Nov / 21
321st,Sun,354 Nov / 22
322nd,Mon,354 Nov / 23
323rd,Tue,354 Nov / 24
324th,Wed,354 Nov / 25
325th,Thu,354 Nov / 26
326th,Fri,354 Nov / 27
327th,Sat,354 Nov / 28
328th,Sun,354 Nov / 29
329th,Mon,354 Nov / 30
330th,Tue,354 Dec / 1
331st,Wed,354 Dec / 2
332nd,Thu     Full,354 Dec / 3
333rd,Fri,354 Dec / 4
334th,Sat,354 Dec / 5
335th,Sun,354 Dec / 6
336th,Mon,354 Dec / 7
337th,Tue,354 Dec / 8
338th,Wed,354 Dec / 9
339th,Thu,354 Dec / 10
340th,Fri,354 Dec / 11
341st,Sat,354 Dec / 12
342nd,Sun,354 Dec / 13
343rd,Mon,354 Dec / 14
344th,Tue,354 Dec / 15
345th,Wed,354 Dec / 16
346th,Thu     New,354 Dec / 17
347th,Fri,354 Dec / 18
348th,Sat,354 Dec / 19
349th,Sun,354 Dec / 20
350th,Mon,354 Dec / 21
351st,Tue,354 Dec / 22
352nd,Wed,354 Dec / 23
353rd,Thu,354 Dec / 24
354th,Fri,354 Dec / 25
355th,Sat,354 Dec / 26
356th So,Sun,354 Dec / 27
357th,Mon,354 Dec / 28
358th,Tue,354 Dec / 29
359th,Wed,354 Dec / 30
360th,Thu,354 Dec / 31
361st,Fri,353 L Jan / 1
362nd,Sat     Full,353 L Jan / 2
363rd,Sun,353 L Jan / 3
364th,Mon,353 L Jan / 4
365th,Tue,353 L Jan / 5
366th,XXXXX,XXXXX
